RunID,OS,RAMTier,Pressure,PID,Process,VmemCount,RawCount,Delta,Status,Tier,Error
Run184,Win11,16Gb,1,4,System,5,5,0,MATCH,MATCH,
Run184,Win11,16Gb,1,8,svchost.exe,171,175,4,MISMATCH,SMALL,
Run184,Win11,16Gb,1,124,Registry,120,120,0,MATCH,MATCH,
Run184,Win11,16Gb,1,244,svchost.exe,74,73,-1,MISMATCH,SMALL,
Run184,Win11,16Gb,1,428,fontdrvhost.ex,47,47,0,MATCH,MATCH,
Run184,Win11,16Gb,1,440,fontdrvhost.ex,49,49,0,MATCH,MATCH,
Run184,Win11,16Gb,1,456,smss.exe,23,23,0,MATCH,MATCH,
Run184,Win11,16Gb,1,636,csrss.exe,163,164,1,MISMATCH,SMALL,
Run184,Win11,16Gb,1,716,csrss.exe,129,127,-2,MISMATCH,SMALL,
Run184,Win11,16Gb,1,748,wininit.exe,65,65,0,MATCH,MATCH,
Run184,Win11,16Gb,1,788,winlogon.exe,90,89,-1,MISMATCH,SMALL,
Run184,Win11,16Gb,1,872,services.exe,63,63,0,MATCH,MATCH,
Run184,Win11,16Gb,1,896,lsass.exe,157,154,-3,MISMATCH,SMALL,
Run184,Win11,16Gb,1,920,svchost.exe,91,91,0,MATCH,MATCH,
Run184,Win11,16Gb,1,1040,svchost.exe,82,82,0,MATCH,MATCH,
Run184,Win11,16Gb,1,1048,svchost.exe,92,94,2,MISMATCH,SMALL,
Run184,Win11,16Gb,1,1104,dwm.exe,274,274,0,MATCH,MATCH,
Run184,Win11,16Gb,1,1156,MicrosoftEdgeU,110,110,0,MATCH,MATCH,
Run184,Win11,16Gb,1,1200,svchost.exe,211,210,-1,MISMATCH,SMALL,
Run184,Win11,16Gb,1,1228,svchost.exe,87,87,0,MATCH,MATCH,
Run184,Win11,16Gb,1,1432,svchost.exe,82,82,0,MATCH,MATCH,
Run184,Win11,16Gb,1,1444,svchost.exe,144,143,-1,MISMATCH,SMALL,
Run184,Win11,16Gb,1,1448,UserOOBEBroker,77,77,0,MATCH,MATCH,
Run184,Win11,16Gb,1,1488,svchost.exe,82,82,0,MATCH,MATCH,
Run184,Win11,16Gb,1,1504,powershell.exe,,,,MISSING FROM RAW,MISSING,
Run184,Win11,16Gb,1,1516,svchost.exe,91,96,5,MISMATCH,SMALL,
Run184,Win11,16Gb,1,1652,svchost.exe,75,72,-3,MISMATCH,SMALL,
Run184,Win11,16Gb,1,1660,svchost.exe,54,53,-1,MISMATCH,SMALL,
Run184,Win11,16Gb,1,1668,svchost.exe,77,77,0,MATCH,MATCH,
Run184,Win11,16Gb,1,1676,svchost.exe,55,55,0,MATCH,MATCH,
Run184,Win11,16Gb,1,1684,svchost.exe,70,71,1,MISMATCH,SMALL,
Run184,Win11,16Gb,1,1780,svchost.exe,57,57,0,MATCH,MATCH,
Run184,Win11,16Gb,1,1788,svchost.exe,93,95,2,MISMATCH,SMALL,
Run184,Win11,16Gb,1,1796,svchost.exe,72,71,-1,MISMATCH,SMALL,
Run184,Win11,16Gb,1,1852,msedgewebview2,78,78,0,MATCH,MATCH,
Run184,Win11,16Gb,1,1888,svchost.exe,125,120,-5,MISMATCH,SMALL,
Run184,Win11,16Gb,1,1936,svchost.exe,76,75,-1,MISMATCH,SMALL,
Run184,Win11,16Gb,1,1972,svchost.exe,75,74,-1,MISMATCH,SMALL,
Run184,Win11,16Gb,1,1980,svchost.exe,79,77,-2,MISMATCH,SMALL,
Run184,Win11,16Gb,1,2016,MemCompression,822,803,-19,MISMATCH,MEDIUM,
