RunID,OS,RAMTier,Pressure,Variant,PID,Process,VmemCount,RawCount,Delta,Status,Tier,Error
Run040A,Win10,16Gb,2,Async,4,System,6,6,0,MATCH,MATCH,
Run040A,Win10,16Gb,2,Async,108,Registry,69,69,0,MATCH,MATCH,
Run040A,Win10,16Gb,2,Async,380,smss.exe,16,16,0,MATCH,MATCH,
Run040A,Win10,16Gb,2,Async,436,svchost.exe,77,76,-1,MISMATCH,SMALL,
Run040A,Win10,16Gb,2,Async,468,ctfmon.exe,109,109,0,MATCH,MATCH,
Run040A,Win10,16Gb,2,Async,480,csrss.exe,145,145,0,MATCH,MATCH,
Run040A,Win10,16Gb,2,Async,572,wininit.exe,60,60,0,MATCH,MATCH,
Run040A,Win10,16Gb,2,Async,580,csrss.exe,115,115,0,MATCH,MATCH,
Run040A,Win10,16Gb,2,Async,676,winlogon.exe,95,94,-1,MISMATCH,SMALL,
Run040A,Win10,16Gb,2,Async,720,services.exe,62,62,0,MATCH,MATCH,
Run040A,Win10,16Gb,2,Async,744,WerFault.exe,0,0,0,MATCH,MATCH,
Run040A,Win10,16Gb,2,Async,764,lsass.exe,153,149,-4,MISMATCH,SMALL,
Run040A,Win10,16Gb,2,Async,888,svchost.exe,153,152,-1,MISMATCH,SMALL,
Run040A,Win10,16Gb,2,Async,908,dwm.exe,277,276,-1,MISMATCH,SMALL,
Run040A,Win10,16Gb,2,Async,916,fontdrvhost.ex,48,48,0,MATCH,MATCH,
Run040A,Win10,16Gb,2,Async,924,fontdrvhost.ex,46,46,0,MATCH,MATCH,
Run040A,Win10,16Gb,2,Async,1016,svchost.exe,91,89,-2,MISMATCH,SMALL,
Run040A,Win10,16Gb,2,Async,1076,explorer.exe,521,520,-1,MISMATCH,SMALL,
Run040A,Win10,16Gb,2,Async,1104,svchost.exe,86,85,-1,MISMATCH,SMALL,
Run040A,Win10,16Gb,2,Async,1116,svchost.exe,134,132,-2,MISMATCH,SMALL,
Run040A,Win10,16Gb,2,Async,1180,svchost.exe,103,101,-2,MISMATCH,SMALL,
Run040A,Win10,16Gb,2,Async,1216,svchost.exe,103,100,-3,MISMATCH,SMALL,
Run040A,Win10,16Gb,2,Async,1244,svchost.exe,170,170,0,MATCH,MATCH,
Run040A,Win10,16Gb,2,Async,1316,SecurityHealth,71,71,0,MATCH,MATCH,
Run040A,Win10,16Gb,2,Async,1324,svchost.exe,75,74,-1,MISMATCH,SMALL,
Run040A,Win10,16Gb,2,Async,1364,svchost.exe,97,96,-1,MISMATCH,SMALL,
Run040A,Win10,16Gb,2,Async,1376,userinit.exe,0,0,0,MATCH,MATCH,
Run040A,Win10,16Gb,2,Async,1432,svchost.exe,88,90,2,MISMATCH,SMALL,
Run040A,Win10,16Gb,2,Async,1440,svchost.exe,55,54,-1,MISMATCH,SMALL,
Run040A,Win10,16Gb,2,Async,1484,svchost.exe,93,91,-2,MISMATCH,SMALL,
Run040A,Win10,16Gb,2,Async,1496,MemCompression,1752,1752,0,MATCH,MATCH,
Run040A,Win10,16Gb,2,Async,1532,svchost.exe,54,53,-1,MISMATCH,SMALL,
Run040A,Win10,16Gb,2,Async,1540,svchost.exe,54,53,-1,MISMATCH,SMALL,
