RunID,OS,RAMTier,Pressure,TotalProcesses,StableCount,MediumCount,LargeCount,,Stable%,Medium%,Large%,,ErrorCount,MissingCount,Error%,Missing%
Run146,Win11,8Gb,2,141,127,5,1,,90.07,3.55,0.71,,0,8,0.0,5.67
Run147,Win11,8Gb,2,140,129,2,1,,92.14,1.43,0.71,,0,8,0.0,5.71
Run148,Win11,8Gb,2,141,124,6,3,,87.94,4.26,2.13,,0,8,0.0,5.67
Run149,Win11,8Gb,2,146,125,5,4,,85.62,3.42,2.74,,0,12,0.0,8.22
Run150,Win11,8Gb,2,144,126,7,2,,87.5,4.86,1.39,,0,9,0.0,6.25
Run151,Win11,8Gb,2,147,125,8,1,,85.03,5.44,0.68,,0,13,0.0,8.84
Run152,Win11,8Gb,2,148,127,6,1,,85.81,4.05,0.68,,0,14,0.0,9.46
Run153,Win11,8Gb,2,143,129,6,3,,90.21,4.2,2.1,,0,5,0.0,3.5
Run154,Win11,8Gb,2,142,130,4,0,,91.55,2.82,0.0,,0,8,0.0,5.63
Run155,Win11,8Gb,2,150,129,6,0,,86.0,4.0,0.0,,0,15,0.0,10.0
Run156,Win11,8Gb,2,142,126,6,2,,88.73,4.23,1.41,,0,8,0.0,5.63
Run157,Win11,8Gb,2,142,130,2,1,,91.55,1.41,0.7,,0,9,0.0,6.34
Run158,Win11,8Gb,2,141,129,3,1,,91.49,2.13,0.71,,0,8,0.0,5.67
Run159,Win11,8Gb,2,142,130,3,1,,91.55,2.11,0.7,,0,8,0.0,5.63
Run160,Win11,8Gb,2,142,126,5,2,,88.73,3.52,1.41,,0,9,0.0,6.34
Run161,Win11,8Gb,2,143,126,6,1,,88.11,4.2,0.7,,0,10,0.0,6.99
Run162,Win11,8Gb,2,141,129,4,1,,91.49,2.84,0.71,,0,7,0.0,4.96
Run163,Win11,8Gb,2,141,130,3,1,,92.2,2.13,0.71,,0,7,0.0,4.96
Run164,Win11,8Gb,2,143,125,6,2,,87.41,4.2,1.4,,0,10,0.0,6.99
Run165,Win11,8Gb,2,145,130,1,2,,89.66,0.69,1.38,,0,12,0.0,8.28
