RunID,OS,RAMTier,Pressure,TotalProcesses,StableCount,MediumCount,LargeCount,,Stable%,Medium%,Large%,,ErrorCount,MissingCount,Error%,Missing%
Run106,Win11,8Gb,0,156,117,7,6,,75.0,4.49,3.85,,0,26,0.0,16.67
Run107,Win11,8Gb,0,152,116,13,3,,76.32,8.55,1.97,,0,20,0.0,13.16
Run108,Win11,8Gb,0,141,114,10,4,,80.85,7.09,2.84,,0,13,0.0,9.22
Run109,Win11,8Gb,0,141,120,5,2,,85.11,3.55,1.42,,0,14,0.0,9.93
Run110,Win11,8Gb,0,137,119,6,3,,86.86,4.38,2.19,,0,9,0.0,6.57
Run111,Win11,8Gb,0,136,122,1,2,,89.71,0.74,1.47,,0,11,0.0,8.09
Run112,Win11,8Gb,0,132,121,3,1,,91.67,2.27,0.76,,0,7,0.0,5.3
Run113,Win11,8Gb,0,137,126,1,1,,91.97,0.73,0.73,,0,9,0.0,6.57
Run114,Win11,8Gb,0,139,123,3,2,,88.49,2.16,1.44,,0,11,0.0,7.91
Run115,Win11,8Gb,0,136,125,3,1,,91.91,2.21,0.74,,0,7,0.0,5.15
Run116,Win11,8Gb,0,150,121,9,2,,80.67,6.0,1.33,,0,18,0.0,12.0
Run117,Win11,8Gb,0,142,133,2,0,,93.66,1.41,0.0,,0,7,0.0,4.93
Run118,Win11,8Gb,0,150,124,6,1,,82.67,4.0,0.67,,0,19,0.0,12.67
Run119,Win11,8Gb,0,138,128,2,0,,92.75,1.45,0.0,,0,8,0.0,5.8
Run120,Win11,8Gb,0,137,123,3,4,,89.78,2.19,2.92,,0,7,0.0,5.11
Run121,Win11,8Gb,0,146,126,3,1,,86.3,2.05,0.68,,0,16,0.0,10.96
Run122,Win11,8Gb,0,143,130,0,0,,90.91,0.0,0.0,,0,13,0.0,9.09
Run123,Win11,8Gb,0,139,130,1,0,,93.53,0.72,0.0,,0,8,0.0,5.76
Run124,Win11,8Gb,0,144,127,4,0,,88.19,2.78,0.0,,0,13,0.0,9.03
Run125,Win11,8Gb,0,144,126,5,1,,87.5,3.47,0.69,,0,12,0.0,8.33
