RunID,OS,RAMTier,Pressure,TotalProcesses,StableCount,MediumCount,LargeCount,,Stable%,Medium%,Large%,,ErrorCount,MissingCount,Error%,Missing%
Run041,Win10,8Gb,2,141,114,14,3,,80.85,9.93,2.13,,0,10,0.0,7.09
Run042,Win10,8Gb,2,145,123,7,2,,84.83,4.83,1.38,,0,13,0.0,8.97
Run043,Win10,8Gb,2,147,126,4,1,,85.71,2.72,0.68,,0,16,0.0,10.88
Run044,Win10,8Gb,2,143,126,4,1,,88.11,2.8,0.7,,0,12,0.0,8.39
Run045,Win10,8Gb,2,161,119,6,5,,73.91,3.73,3.11,,0,31,0.0,19.25
Run046,Win10,8Gb,2,153,125,11,4,,81.7,7.19,2.61,,0,13,0.0,8.5
Run047,Win10,8Gb,2,150,133,3,3,,88.67,2.0,2.0,,0,11,0.0,7.33
Run048,Win10,8Gb,2,160,100,28,5,,62.5,17.5,3.12,,0,27,0.0,16.88
Run049,Win10,8Gb,2,160,124,8,3,,77.5,5.0,1.88,,0,25,0.0,15.62
Run050,Win10,8Gb,2,159,123,10,3,,77.36,6.29,1.89,,0,23,0.0,14.47
Run051,Win10,8Gb,2,148,134,3,1,,90.54,2.03,0.68,,0,10,0.0,6.76
Run052,Win10,8Gb,2,154,135,2,1,,87.66,1.3,0.65,,0,16,0.0,10.39
Run053,Win10,8Gb,2,151,134,3,2,,88.74,1.99,1.32,,0,12,0.0,7.95
Run054,Win10,8Gb,2,152,138,2,1,,90.79,1.32,0.66,,0,11,0.0,7.24
Run055,Win10,8Gb,2,151,135,5,1,,89.4,3.31,0.66,,0,10,0.0,6.62
Run056,Win10,8Gb,2,153,134,7,1,,87.58,4.58,0.65,,0,11,0.0,7.19
Run057,Win10,8Gb,2,155,134,6,3,,86.45,3.87,1.94,,0,12,0.0,7.74
Run058,Win10,8Gb,2,155,138,4,2,,89.03,2.58,1.29,,0,11,0.0,7.1
Run059,Win10,8Gb,2,159,138,4,3,,86.79,2.52,1.89,,0,14,0.0,8.81
Run060,Win10,8Gb,2,157,142,3,2,,90.45,1.91,1.27,,0,10,0.0,6.37
