RunID,OS,RAMTier,Pressure,TotalProcesses,StableCount,MediumCount,LargeCount,,Stable%,Medium%,Large%,,ErrorCount,MissingCount,Error%,Missing%
Run126,Win11,8Gb,1,143,109,17,4,,76.22,11.89,2.8,,0,13,0.0,9.09
Run127,Win11,8Gb,1,141,120,9,3,,85.11,6.38,2.13,,0,9,0.0,6.38
Run128,Win11,8Gb,1,139,121,5,4,,87.05,3.6,2.88,,0,9,0.0,6.47
Run129,Win11,8Gb,1,140,126,1,4,,90.0,0.71,2.86,,0,9,0.0,6.43
Run130,Win11,8Gb,1,139,119,9,2,,85.61,6.47,1.44,,0,9,0.0,6.47
Run131,Win11,8Gb,1,137,127,2,1,,92.7,1.46,0.73,,0,7,0.0,5.11
Run132,Win11,8Gb,1,137,128,2,0,,93.43,1.46,0.0,,0,7,0.0,5.11
Run133,Win11,8Gb,1,140,125,3,2,,89.29,2.14,1.43,,0,10,0.0,7.14
Run134,Win11,8Gb,1,137,127,2,1,,92.7,1.46,0.73,,0,7,0.0,5.11
Run135,Win11,8Gb,1,147,123,8,0,,83.67,5.44,0.0,,0,16,0.0,10.88
Run136,Win11,8Gb,1,140,126,4,1,,90.0,2.86,0.71,,0,9,0.0,6.43
Run137,Win11,8Gb,1,137,128,2,1,,93.43,1.46,0.73,,0,6,0.0,4.38
Run138,Win11,8Gb,1,141,131,2,0,,92.91,1.42,0.0,,0,8,0.0,5.67
Run139,Win11,8Gb,1,143,126,5,1,,88.11,3.5,0.7,,0,11,0.0,7.69
Run140,Win11,8Gb,1,142,124,6,2,,87.32,4.23,1.41,,0,10,0.0,7.04
Run141,Win11,8Gb,1,141,127,3,2,,90.07,2.13,1.42,,0,9,0.0,6.38
Run142,Win11,8Gb,1,139,126,4,3,,90.65,2.88,2.16,,0,6,0.0,4.32
Run143,Win11,8Gb,1,145,126,6,2,,86.9,4.14,1.38,,0,11,0.0,7.59
Run144,Win11,8Gb,1,140,130,2,0,,92.86,1.43,0.0,,0,8,0.0,5.71
Run145,Win11,8Gb,1,142,130,4,0,,91.55,2.82,0.0,,0,8,0.0,5.63
