RunID,OS,RAMTier,Pressure,TotalProcesses,StableCount,MediumCount,LargeCount,,Stable%,Medium%,Large%,,ErrorCount,MissingCount,Error%,Missing%
Run001,Win10,8Gb,0,138,106,9,6,,76.81,6.52,4.35,,0,17,0.0,12.32
Run002,Win10,8Gb,0,135,116,5,1,,85.93,3.7,0.74,,0,13,0.0,9.63
Run003,Win10,8Gb,0,135,117,4,0,,86.67,2.96,0.0,,0,14,0.0,10.37
Run004,Win10,8Gb,0,139,118,6,0,,84.89,4.32,0.0,,0,15,0.0,10.79
Run005,Win10,8Gb,0,143,117,7,1,,81.82,4.9,0.7,,0,18,0.0,12.59
Run006,Win10,8Gb,0,139,123,4,1,,88.49,2.88,0.72,,0,11,0.0,7.91
Run007,Win10,8Gb,0,140,121,5,1,,86.43,3.57,0.71,,0,13,0.0,9.29
Run008,Win10,8Gb,0,137,126,2,0,,91.97,1.46,0.0,,0,9,0.0,6.57
Run009,Win10,8Gb,0,143,126,0,1,,88.11,0.0,0.7,,0,16,0.0,11.19
Run010,Win10,8Gb,0,142,126,0,1,,88.73,0.0,0.7,,0,15,0.0,10.56
Run011,Win10,8Gb,0,142,121,4,2,,85.21,2.82,1.41,,0,15,0.0,10.56
Run012,Win10,8Gb,0,141,122,5,1,,86.52,3.55,0.71,,0,13,0.0,9.22
Run013,Win10,8Gb,0,141,123,5,0,,87.23,3.55,0.0,,0,13,0.0,9.22
Run014,Win10,8Gb,0,138,122,5,1,,88.41,3.62,0.72,,0,10,0.0,7.25
Run015,Win10,8Gb,0,136,126,2,0,,92.65,1.47,0.0,,0,8,0.0,5.88
Run016,Win10,8Gb,0,138,124,4,0,,89.86,2.9,0.0,,0,10,0.0,7.25
Run017,Win10,8Gb,0,138,124,3,1,,89.86,2.17,0.72,,0,10,0.0,7.25
Run018,Win10,8Gb,0,142,119,3,2,,83.8,2.11,1.41,,0,18,0.0,12.68
Run019,Win10,8Gb,0,138,123,4,1,,89.13,2.9,0.72,,0,10,0.0,7.25
Run020,Win10,8Gb,0,141,124,5,0,,87.94,3.55,0.0,,0,12,0.0,8.51
