RunID,OS,RAMTier,Pressure,TotalProcesses,StableCount,MediumCount,LargeCount,,Stable%,Medium%,Large%,,ErrorCount,MissingCount,Error%,Missing%
Run091,Win10,16Gb,2,190,173,3,1,,91.05,1.58,0.53,,0,13,0.0,6.84
Run092,Win10,16Gb,2,195,172,6,1,,88.21,3.08,0.51,,0,16,0.0,8.21
Run093,Win10,16Gb,2,194,176,4,2,,90.72,2.06,1.03,,0,12,0.0,6.19
Run094,Win10,16Gb,2,202,167,6,2,,82.67,2.97,0.99,,0,27,0.0,13.37
Run095,Win10,16Gb,2,163,115,18,8,,70.55,11.04,4.91,,0,22,0.0,13.5
Run096,Win10,16Gb,2,154,135,5,1,,87.66,3.25,0.65,,0,13,0.0,8.44
Run097,Win10,16Gb,2,161,138,4,1,,85.71,2.48,0.62,,0,18,0.0,11.18
Run098,Win10,16Gb,2,160,135,7,4,,84.38,4.38,2.5,,0,14,0.0,8.75
Run099,Win10,16Gb,2,160,141,4,2,,88.12,2.5,1.25,,0,13,0.0,8.12
Run100,Win10,16Gb,2,166,140,3,6,,84.34,1.81,3.61,,0,17,0.0,10.24
Run101,Win10,16Gb,2,167,147,4,2,,88.02,2.4,1.2,,0,14,0.0,8.38
Run102,Win10,16Gb,2,165,150,2,2,,90.91,1.21,1.21,,0,11,0.0,6.67
Run103,Win10,16Gb,2,171,151,9,0,,88.3,5.26,0.0,,0,11,0.0,6.43
Run104,Win10,16Gb,2,181,154,6,2,,85.08,3.31,1.1,,0,19,0.0,10.5
Run105,Win10,16Gb,2,178,158,4,2,,88.76,2.25,1.12,,0,14,0.0,7.87
