RunID,OS,RAMTier,Pressure,TotalProcesses,StableCount,MediumCount,LargeCount,,Stable%,Medium%,Large%,,ErrorCount,MissingCount,Error%,Missing%
Run266,Win11,32Gb,2,179,102,17,9,,56.98,9.5,5.03,,0,51,0.0,28.49
Run267,Win11,32Gb,2,150,130,7,1,,86.67,4.67,0.67,,0,12,0.0,8.0
Run268,Win11,32Gb,2,146,131,6,1,,89.73,4.11,0.68,,0,8,0.0,5.48
Run269,Win11,32Gb,2,147,132,5,1,,89.8,3.4,0.68,,0,9,0.0,6.12
Run270,Win11,32Gb,2,146,132,5,1,,90.41,3.42,0.68,,0,8,0.0,5.48
Run271,Win11,32Gb,2,150,126,8,3,,84.0,5.33,2.0,,0,13,0.0,8.67
Run272,Win11,32Gb,2,149,124,7,6,,83.22,4.7,4.03,,0,12,0.0,8.05
Run273,Win11,32Gb,2,145,130,6,1,,89.66,4.14,0.69,,0,8,0.0,5.52
Run274,Win11,32Gb,2,157,104,14,12,,66.24,8.92,7.64,,0,27,0.0,17.2
Run275,Win11,32Gb,2,148,126,7,2,,85.14,4.73,1.35,,0,13,0.0,8.78
