RunID,OS,RAMTier,Pressure,Variant,TotalProcesses,StableCount,MediumCount,LargeCount,,Stable%,Medium%,Large%,,ErrorCount,MissingCount,Error%,Missing%
Run001A,Win10,8Gb,0,Async,133,122,7,1,,91.73,5.26,0.75,,0,3,0,2.26
Run002A,Win10,8Gb,0,Async,144,114,11,11,,79.17,7.64,7.64,,0,8,0,5.56
Run003A,Win10,8Gb,0,Async,135,126,5,0,,93.33,3.7,0,,0,4,0,2.96
Run004A,Win10,8Gb,0,Async,131,127,0,2,,96.95,0,1.53,,0,2,0,1.53
Run005A,Win10,8Gb,0,Async,129,121,3,2,,93.8,2.33,1.55,,0,3,0,2.33
