RunID,OS,RAMTier,Pressure,TotalProcesses,StableCount,MediumCount,LargeCount,,Stable%,Medium%,Large%,,ErrorCount,MissingCount,Error%,Missing%
Run061,Win10,16Gb,0,153,114,13,6,,74.51,8.5,3.92,,0,20,0.0,13.07
Run062,Win10,16Gb,0,151,132,4,0,,87.42,2.65,0.0,,0,15,0.0,9.93
Run063,Win10,16Gb,0,158,125,7,2,,79.11,4.43,1.27,,0,24,0.0,15.19
Run064,Win10,16Gb,0,155,136,3,1,,87.74,1.94,0.65,,0,15,0.0,9.68
Run065,Win10,16Gb,0,156,141,2,0,,90.38,1.28,0.0,,0,13,0.0,8.33
Run066,Win10,16Gb,0,160,141,2,3,,88.12,1.25,1.88,,0,14,0.0,8.75
Run067,Win10,16Gb,0,169,144,5,1,,85.21,2.96,0.59,,0,19,0.0,11.24
Run068,Win10,16Gb,0,170,140,9,4,,82.35,5.29,2.35,,0,17,0.0,10.0
Run069,Win10,16Gb,0,168,148,6,1,,88.1,3.57,0.6,,0,13,0.0,7.74
Run070,Win10,16Gb,0,172,150,5,2,,87.21,2.91,1.16,,0,15,0.0,8.72
Run071,Win10,16Gb,0,177,148,4,0,,83.62,2.26,0.0,,0,25,0.0,14.12
Run072,Win10,16Gb,0,173,156,4,0,,90.17,2.31,0.0,,0,13,0.0,7.51
Run073,Win10,16Gb,0,176,122,19,4,,69.32,10.8,2.27,,0,31,0.0,17.61
Run074,Win10,16Gb,0,168,133,3,5,,79.17,1.79,2.98,,0,27,0.0,16.07
Run075,Win10,16Gb,0,165,145,4,1,,87.88,2.42,0.61,,0,15,0.0,9.09
