RunID,OS,RAMTier,Pressure,TotalProcesses,StableCount,MediumCount,LargeCount,,Stable%,Medium%,Large%,,ErrorCount,MissingCount,Error%,Missing%
Run196,Win11,16Gb,2,153,118,12,4,,77.12,7.84,2.61,,0,19,0.0,12.42
Run197,Win11,16Gb,2,144,128,4,1,,88.89,2.78,0.69,,0,11,0.0,7.64
Run198,Win11,16Gb,2,143,123,8,2,,86.01,5.59,1.4,,0,10,0.0,6.99
Run199,Win11,16Gb,2,144,124,7,2,,86.11,4.86,1.39,,0,11,0.0,7.64
Run200,Win11,16Gb,2,146,121,9,3,,82.88,6.16,2.05,,0,13,0.0,8.9
Run201,Win11,16Gb,2,146,130,3,2,,89.04,2.05,1.37,,0,11,0.0,7.53
Run202,Win11,16Gb,2,143,128,5,2,,89.51,3.5,1.4,,0,8,0.0,5.59
Run203,Win11,16Gb,2,144,130,4,1,,90.28,2.78,0.69,,0,9,0.0,6.25
Run204,Win11,16Gb,2,150,126,8,1,,84.0,5.33,0.67,,0,15,0.0,10.0
Run205,Win11,16Gb,2,143,131,3,0,,91.61,2.1,0.0,,0,9,0.0,6.29
Run206,Win11,16Gb,2,142,129,4,1,,90.85,2.82,0.7,,0,8,0.0,5.63
Run207,Win11,16Gb,2,156,110,17,4,,70.51,10.9,2.56,,0,25,0.0,16.03
Run208,Win11,16Gb,2,142,129,3,0,,90.85,2.11,0.0,,0,10,0.0,7.04
Run209,Win11,16Gb,2,145,123,7,2,,84.83,4.83,1.38,,0,13,0.0,8.97
Run210,Win11,16Gb,2,142,127,3,2,,89.44,2.11,1.41,,0,10,0.0,7.04
