RunID,OS,RAMTier,Pressure,TotalProcesses,StableCount,MediumCount,LargeCount,,Stable%,Medium%,Large%,,ErrorCount,MissingCount,Error%,Missing%
Run231,Win11,32Gb,1,160,100,22,7,,62.5,13.75,4.38,,0,31,0.0,19.38
Run232,Win11,32Gb,1,149,124,9,2,,83.22,6.04,1.34,,0,14,0.0,9.4
Run233,Win11,32Gb,1,154,130,3,1,,84.42,1.95,0.65,,0,20,0.0,12.99
Run234,Win11,32Gb,1,145,134,2,0,,92.41,1.38,0.0,,0,9,0.0,6.21
Run235,Win11,32Gb,1,159,109,17,5,,68.55,10.69,3.14,,0,28,0.0,17.61
Run236,Win11,32Gb,1,150,124,10,2,,82.67,6.67,1.33,,0,14,0.0,9.33
Run237,Win11,32Gb,1,147,132,4,0,,89.8,2.72,0.0,,0,11,0.0,7.48
Run238,Win11,32Gb,1,150,135,1,0,,90.0,0.67,0.0,,0,14,0.0,9.33
Run239,Win11,32Gb,1,148,127,6,2,,85.81,4.05,1.35,,0,13,0.0,8.78
Run240,Win11,32Gb,1,143,127,7,1,,88.81,4.9,0.7,,0,8,0.0,5.59
