RunID,OS,RAMTier,Pressure,TotalProcesses,StableCount,MediumCount,LargeCount,,Stable%,Medium%,Large%,,ErrorCount,MissingCount,Error%,Missing%
Run166,Win11,16Gb,0,166,70,44,14,,42.17,26.51,8.43,,0,38,0.0,22.89
Run167,Win11,16Gb,0,137,123,4,2,,89.78,2.92,1.46,,0,8,0.0,5.84
Run168,Win11,16Gb,0,143,122,4,4,,85.31,2.8,2.8,,0,13,0.0,9.09
Run169,Win11,16Gb,0,145,98,27,5,,67.59,18.62,3.45,,0,15,0.0,10.34
Run170,Win11,16Gb,0,138,127,2,2,,92.03,1.45,1.45,,0,7,0.0,5.07
Run171,Win11,16Gb,0,148,123,6,2,,83.11,4.05,1.35,,0,17,0.0,11.49
Run172,Win11,16Gb,0,145,122,7,2,,84.14,4.83,1.38,,0,14,0.0,9.66
Run173,Win11,16Gb,0,141,125,4,2,,88.65,2.84,1.42,,0,10,0.0,7.09
Run174,Win11,16Gb,0,139,128,1,2,,92.09,0.72,1.44,,0,8,0.0,5.76
Run175,Win11,16Gb,0,140,125,4,2,,89.29,2.86,1.43,,0,9,0.0,6.43
Run176,Win11,16Gb,0,139,126,3,2,,90.65,2.16,1.44,,0,8,0.0,5.76
Run177,Win11,16Gb,0,141,126,3,2,,89.36,2.13,1.42,,0,10,0.0,7.09
Run178,Win11,16Gb,0,147,122,9,2,,82.99,6.12,1.36,,0,14,0.0,9.52
Run179,Win11,16Gb,0,143,128,5,1,,89.51,3.5,0.7,,0,9,0.0,6.29
Run180,Win11,16Gb,0,141,130,2,1,,92.2,1.42,0.71,,0,8,0.0,5.67
