RunID,OS,RAMTier,Pressure,TotalProcesses,StableCount,MediumCount,LargeCount,,Stable%,Medium%,Large%,,ErrorCount,MissingCount,Error%,Missing%
Run256,Win10,32Gb,2,154,127,6,1,,82.47,3.9,0.65,,0,20,0.0,12.99
Run257,Win10,32Gb,2,152,125,10,1,,82.24,6.58,0.66,,0,16,0.0,10.53
Run258,Win10,32Gb,2,159,122,11,3,,76.73,6.92,1.89,,0,23,0.0,14.47
Run259,Win10,32Gb,2,168,131,12,5,,77.98,7.14,2.98,,0,20,0.0,11.9
Run260,Win10,32Gb,2,164,144,2,2,,87.8,1.22,1.22,,0,16,0.0,9.76
Run261,Win10,32Gb,2,162,141,6,4,,87.04,3.7,2.47,,0,11,0.0,6.79
Run262,Win10,32Gb,2,173,139,5,7,,80.35,2.89,4.05,,0,22,0.0,12.72
Run263,Win10,32Gb,2,167,150,3,2,,89.82,1.8,1.2,,0,12,0.0,7.19
Run264,Win10,32Gb,2,156,106,14,5,,67.95,8.97,3.21,,0,31,0.0,19.87
Run265,Win10,32Gb,2,155,114,10,3,,73.55,6.45,1.94,,0,28,0.0,18.06
