RunID,OS,RAMTier,Pressure,TotalProcesses,StableCount,MediumCount,LargeCount,,Stable%,Medium%,Large%,,ErrorCount,MissingCount,Error%,Missing%
Run226,Win11,32Gb,0,165,99,14,5,,60.0,8.48,3.03,,0,47,0.0,28.48
Run227,Win11,32Gb,0,145,127,4,1,,87.59,2.76,0.69,,0,13,0.0,8.97
Run228,Win11,32Gb,0,144,125,7,2,,86.81,4.86,1.39,,0,10,0.0,6.94
Run229,Win11,32Gb,0,145,124,7,3,,85.52,4.83,2.07,,0,11,0.0,7.59
Run230,Win11,32Gb,0,152,94,38,1,,61.84,25.0,0.66,,0,19,0.0,12.5
Run251,Win11,32Gb,0,167,89,25,12,,53.29,14.97,7.19,,0,41,0.0,24.55
Run252,Win11,32Gb,0,138,125,5,1,,90.58,3.62,0.72,,0,7,0.0,5.07
Run253,Win11,32Gb,0,151,118,11,0,,78.15,7.28,0.0,,0,22,0.0,14.57
Run254,Win11,32Gb,0,150,112,13,4,,74.67,8.67,2.67,,0,21,0.0,14.0
Run255,Win11,32Gb,0,149,128,8,1,,85.91,5.37,0.67,,0,12,0.0,8.05
