RunID,OS,RAMTier,Pressure,TotalProcesses,StableCount,MediumCount,LargeCount,,Stable%,Medium%,Large%,,ErrorCount,MissingCount,Error%,Missing%
Run021,Win10,8Gb,1,142,127,4,1,,89.44,2.82,0.7,,0,10,0.0,7.04
Run022,Win10,8Gb,1,148,122,9,1,,82.43,6.08,0.68,,0,16,0.0,10.81
Run023,Win10,8Gb,1,141,128,3,0,,90.78,2.13,0.0,,0,10,0.0,7.09
Run024,Win10,8Gb,1,142,127,2,1,,89.44,1.41,0.7,,0,12,0.0,8.45
Run025,Win10,8Gb,1,141,128,1,1,,90.78,0.71,0.71,,0,11,0.0,7.8
Run026,Win10,8Gb,1,142,123,7,0,,86.62,4.93,0.0,,0,12,0.0,8.45
Run027,Win10,8Gb,1,146,125,5,0,,85.62,3.42,0.0,,0,16,0.0,10.96
Run028,Win10,8Gb,1,141,127,3,1,,90.07,2.13,0.71,,0,10,0.0,7.09
Run029,Win10,8Gb,1,150,118,5,2,,78.67,3.33,1.33,,0,25,0.0,16.67
Run030,Win10,8Gb,1,147,120,8,3,,81.63,5.44,2.04,,0,16,0.0,10.88
Run031,Win10,8Gb,1,144,127,3,1,,88.19,2.08,0.69,,0,13,0.0,9.03
Run032,Win10,8Gb,1,139,129,1,1,,92.81,0.72,0.72,,0,8,0.0,5.76
Run033,Win10,8Gb,1,149,103,14,6,,69.13,9.4,4.03,,0,26,0.0,17.45
Run034,Win10,8Gb,1,146,118,7,3,,80.82,4.79,2.05,,0,18,0.0,12.33
Run035,Win10,8Gb,1,144,124,3,1,,86.11,2.08,0.69,,0,16,0.0,11.11
Run036,Win10,8Gb,1,143,126,2,0,,88.11,1.4,0.0,,0,15,0.0,10.49
Run037,Win10,8Gb,1,146,119,9,0,,81.51,6.16,0.0,,0,18,0.0,12.33
Run038,Win10,8Gb,1,143,111,15,5,,77.62,10.49,3.5,,0,12,0.0,8.39
Run039,Win10,8Gb,1,142,120,7,1,,84.51,4.93,0.7,,0,14,0.0,9.86
Run040,Win10,8Gb,1,138,118,7,1,,85.51,5.07,0.72,,0,12,0.0,8.7
