RunID,OS,RAMTier,Pressure,Variant,PID,Process,VmemCount,RawCount,Delta,Status,Tier,Error
Run049A,Win11,16Gb,2,Async,4,System,5,5,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,124,Registry,86,86,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,452,smss.exe,23,23,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,508,fontdrvhost.ex,48,48,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,516,fontdrvhost.ex,48,48,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,636,csrss.exe,157,159,2,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,716,csrss.exe,122,122,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,768,winlogon.exe,86,86,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,788,svchost.exe,77,77,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,792,wininit.exe,65,65,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,816,svchost.exe,165,160,-5,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,868,services.exe,63,60,-3,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,888,WerFault.exe,0,0,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,908,lsass.exe,157,156,-1,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,1048,svchost.exe,89,87,-2,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,1088,svchost.exe,75,74,-1,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,1092,svchost.exe,78,78,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,1100,svchost.exe,221,222,1,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,1224,dwm.exe,270,267,-3,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,1356,svchost.exe,139,138,-1,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,1376,svchost.exe,79,79,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,1384,svchost.exe,86,85,-1,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,1460,svchost.exe,123,122,-1,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,1524,svchost.exe,73,72,-1,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,1532,svchost.exe,74,74,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,1540,go-winpmem_amd,,,,MISSING FROM VMEM,MISSING,
Run049A,Win11,16Gb,2,Async,1544,svchost.exe,82,79,-3,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,1612,svchost.exe,81,78,-3,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,1680,svchost.exe,90,90,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,1740,svchost.exe,53,52,-1,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,1748,svchost.exe,53,53,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,1756,svchost.exe,77,77,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,1764,svchost.exe,72,70,-2,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,1772,svchost.exe,69,68,-1,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,1780,svchost.exe,54,51,-3,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,1904,svchost.exe,71,70,-1,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,1912,svchost.exe,95,91,-4,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,1920,svchost.exe,56,54,-2,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,1944,svchost.exe,121,118,-3,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,2012,svchost.exe,133,134,1,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,2064,MemCompression,2103,2024,-79,MISMATCH,LARGE,
Run049A,Win11,16Gb,2,Async,2128,svchost.exe,98,97,-1,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,2160,svchost.exe,73,73,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,2196,svchost.exe,95,94,-1,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,2400,svchost.exe,72,70,-2,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,2480,svchost.exe,77,77,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,2500,svchost.exe,81,81,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,2508,svchost.exe,63,60,-3,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,2516,svchost.exe,77,77,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,2652,svchost.exe,78,76,-2,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,2708,svchost.exe,83,79,-4,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,2764,svchost.exe,114,115,1,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,2772,svchost.exe,83,81,-2,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,2936,svchost.exe,102,98,-4,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,2944,svchost.exe,83,81,-2,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,3032,spoolsv.exe,130,130,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,3040,svchost.exe,58,58,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,3064,svchost.exe,160,158,-2,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,3208,sihost.exe,181,178,-3,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,3252,svchost.exe,197,199,2,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,3260,svchost.exe,108,107,-1,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,3268,svchost.exe,128,128,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,3276,svchost.exe,53,53,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,3304,WmiPrvSE.exe,131,128,-3,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,3308,CrossDeviceRes,173,171,-2,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,3312,svchost.exe,118,118,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,3320,svchost.exe,120,115,-5,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,3444,MsMpEng.exe,1944,1942,-2,MISMATCH,SMALL,
Run049A,Win11,16Gb,2,Async,3464,vm3dservice.ex,71,71,0,MATCH,MATCH,
Run049A,Win11,16Gb,2,Async,3472,SearchIndexer.,143,132,-11,MISMATCH,MEDIUM,
Run049A,Win11,16Gb,2,Async,3552,NisSrv.exe,73,73,0,MATCH,MATCH,
