RunID,OS,RAMTier,Pressure,Variant,PID,Process,VmemCount,RawCount,Delta,Status,Tier,Error
Run019A,Win11,8Gb,0,Async,4,System,5,5,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,124,Registry,83,83,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,456,smss.exe,23,23,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,512,svchost.exe,89,89,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,556,svchost.exe,166,166,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,576,fontdrvhost.ex,47,47,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,588,fontdrvhost.ex,48,48,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,640,csrss.exe,162,163,1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,720,csrss.exe,128,128,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,752,wininit.exe,65,65,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,788,svchost.exe,77,76,-1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,792,winlogon.exe,90,91,1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,852,svchost.exe,113,113,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,872,services.exe,63,63,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,892,lsass.exe,157,156,-1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,1052,svchost.exe,82,82,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,1120,dwm.exe,274,269,-5,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,1152,ctfmon.exe,135,135,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,1220,svchost.exe,96,95,-1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,1228,svchost.exe,86,86,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,1264,svchost.exe,210,210,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,1436,svchost.exe,53,53,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,1444,svchost.exe,53,52,-1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,1452,svchost.exe,72,71,-1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,1460,svchost.exe,77,79,2,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,1468,svchost.exe,69,68,-1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,1476,svchost.exe,56,51,-5,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,1548,svchost.exe,86,85,-1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,1620,svchost.exe,139,139,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,1632,svchost.exe,82,82,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,1648,svchost.exe,95,95,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,1656,svchost.exe,71,70,-1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,1664,svchost.exe,56,55,-1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,1708,svchost.exe,73,72,-1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,1776,svchost.exe,122,122,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,1804,svchost.exe,104,101,-3,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,1920,svchost.exe,75,74,-1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,1952,svchost.exe,74,73,-1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,1960,svchost.exe,69,68,-1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,2004,MemCompression,904,904,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,2056,svchost.exe,97,98,1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,2088,svchost.exe,73,72,-1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,2116,MoUsoCoreWorke,120,118,-2,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,2196,svchost.exe,60,63,3,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,2204,svchost.exe,81,81,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,2212,svchost.exe,78,78,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,2388,svchost.exe,80,80,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,2516,svchost.exe,82,83,1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,2548,svchost.exe,83,84,1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,2560,svchost.exe,78,78,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,2604,spoolsv.exe,130,130,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,2668,svchost.exe,83,82,-1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,2792,svchost.exe,100,99,-1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,2820,RuntimeBroker.,111,109,-2,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,2848,svchost.exe,116,114,-2,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,2856,svchost.exe,72,72,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,2996,svchost.exe,77,77,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,3028,svchost.exe,136,137,1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,3120,svchost.exe,198,197,-1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,3128,svchost.exe,108,107,-1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,3136,svchost.exe,126,167,41,MISMATCH,LARGE,
Run019A,Win11,8Gb,0,Async,3144,svchost.exe,58,57,-1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,3148,svchost.exe,53,53,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,3184,svchost.exe,119,118,-1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,3192,svchost.exe,116,114,-2,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,3264,SearchHost.exe,291,292,1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,3356,vmtoolsd.exe,169,169,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,3384,vm3dservice.ex,71,73,2,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,3460,MsMpEng.exe,1926,1926,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,3568,MoNotification,87,87,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,3628,VGAuthService.,92,92,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,3640,Widgets.exe,252,253,1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,3716,MpDefenderCore,112,111,-1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,3776,svchost.exe,90,90,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,3944,vm3dservice.ex,83,84,1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,4152,dllhost.exe,115,115,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,4236,svchost.exe,54,53,-1,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,4292,sihost.exe,177,179,2,MISMATCH,SMALL,
Run019A,Win11,8Gb,0,Async,4296,taskhostw.exe,197,197,0,MATCH,MATCH,
Run019A,Win11,8Gb,0,Async,4316,go-winpmem_amd,,,,MISSING FROM VMEM,MISSING,
