RunID,OS,RAMTier,Pressure,PID,Process,VmemCount,RawCount,Delta,Status,Tier,Error
Run058,Win10,8Gb,2,4,System,6,6,0,MATCH,MATCH,
Run058,Win10,8Gb,2,108,Registry,62,62,0,MATCH,MATCH,
Run058,Win10,8Gb,2,360,smss.exe,16,16,0,MATCH,MATCH,
Run058,Win10,8Gb,2,384,svchost.exe,189,189,0,MATCH,MATCH,
Run058,Win10,8Gb,2,468,csrss.exe,147,149,2,MISMATCH,SMALL,
Run058,Win10,8Gb,2,544,svchost.exe,53,53,0,MATCH,MATCH,
Run058,Win10,8Gb,2,552,wininit.exe,60,60,0,MATCH,MATCH,
Run058,Win10,8Gb,2,572,csrss.exe,120,120,0,MATCH,MATCH,
Run058,Win10,8Gb,2,652,services.exe,64,64,0,MATCH,MATCH,
Run058,Win10,8Gb,2,660,winlogon.exe,97,97,0,MATCH,MATCH,
Run058,Win10,8Gb,2,720,lsass.exe,156,155,-1,MISMATCH,SMALL,
Run058,Win10,8Gb,2,792,HxTsr.exe,0,0,0,MATCH,MATCH,
Run058,Win10,8Gb,2,816,msdtc.exe,95,95,0,MATCH,MATCH,
Run058,Win10,8Gb,2,836,svchost.exe,153,154,1,MISMATCH,SMALL,
Run058,Win10,8Gb,2,856,fontdrvhost.ex,48,48,0,MATCH,MATCH,
Run058,Win10,8Gb,2,860,fontdrvhost.ex,46,46,0,MATCH,MATCH,
Run058,Win10,8Gb,2,960,svchost.exe,88,88,0,MATCH,MATCH,
Run058,Win10,8Gb,2,980,svchost.exe,70,73,3,MISMATCH,SMALL,
Run058,Win10,8Gb,2,1008,svchost.exe,85,85,0,MATCH,MATCH,
Run058,Win10,8Gb,2,1012,svchost.exe,77,78,1,MISMATCH,SMALL,
Run058,Win10,8Gb,2,1088,svchost.exe,80,79,-1,MISMATCH,SMALL,
Run058,Win10,8Gb,2,1112,svchost.exe,97,97,0,MATCH,MATCH,
Run058,Win10,8Gb,2,1116,svchost.exe,100,99,-1,MISMATCH,SMALL,
Run058,Win10,8Gb,2,1168,dwm.exe,272,255,-17,MISMATCH,MEDIUM,
Run058,Win10,8Gb,2,1272,svchost.exe,53,55,2,MISMATCH,SMALL,
Run058,Win10,8Gb,2,1288,svchost.exe,91,91,0,MATCH,MATCH,
Run058,Win10,8Gb,2,1384,svchost.exe,90,87,-3,MISMATCH,SMALL,
Run058,Win10,8Gb,2,1396,svchost.exe,67,67,0,MATCH,MATCH,
Run058,Win10,8Gb,2,1404,svchost.exe,103,103,0,MATCH,MATCH,
Run058,Win10,8Gb,2,1420,svchost.exe,54,54,0,MATCH,MATCH,
Run058,Win10,8Gb,2,1428,svchost.exe,72,72,0,MATCH,MATCH,
Run058,Win10,8Gb,2,1436,svchost.exe,102,102,0,MATCH,MATCH,
Run058,Win10,8Gb,2,1572,svchost.exe,53,53,0,MATCH,MATCH,
Run058,Win10,8Gb,2,1580,MemCompression,2138,2266,128,MISMATCH,LARGE,
Run058,Win10,8Gb,2,1652,svchost.exe,0,0,0,MATCH,MATCH,
Run058,Win10,8Gb,2,1664,svchost.exe,70,70,0,MATCH,MATCH,
Run058,Win10,8Gb,2,1696,svchost.exe,75,75,0,MATCH,MATCH,
Run058,Win10,8Gb,2,1708,svchost.exe,93,93,0,MATCH,MATCH,
Run058,Win10,8Gb,2,1720,svchost.exe,92,90,-2,MISMATCH,SMALL,
Run058,Win10,8Gb,2,1796,svchost.exe,69,69,0,MATCH,MATCH,
Run058,Win10,8Gb,2,1812,svchost.exe,66,66,0,MATCH,MATCH,
Run058,Win10,8Gb,2,1928,svchost.exe,86,83,-3,MISMATCH,SMALL,
Run058,Win10,8Gb,2,1984,svchost.exe,60,60,0,MATCH,MATCH,
Run058,Win10,8Gb,2,2064,svchost.exe,88,88,0,MATCH,MATCH,
Run058,Win10,8Gb,2,2072,svchost.exe,81,81,0,MATCH,MATCH,
Run058,Win10,8Gb,2,2080,svchost.exe,75,75,0,MATCH,MATCH,
Run058,Win10,8Gb,2,2176,svchost.exe,78,78,0,MATCH,MATCH,
Run058,Win10,8Gb,2,2232,svchost.exe,71,71,0,MATCH,MATCH,
Run058,Win10,8Gb,2,2316,svchost.exe,73,73,0,MATCH,MATCH,
Run058,Win10,8Gb,2,2352,svchost.exe,67,67,0,MATCH,MATCH,
Run058,Win10,8Gb,2,2388,spoolsv.exe,123,123,0,MATCH,MATCH,
Run058,Win10,8Gb,2,2444,svchost.exe,112,112,0,MATCH,MATCH,
Run058,Win10,8Gb,2,2504,svchost.exe,76,76,0,MATCH,MATCH,
Run058,Win10,8Gb,2,2552,SecurityHealth,71,71,0,MATCH,MATCH,
Run058,Win10,8Gb,2,2728,svchost.exe,194,195,1,MISMATCH,SMALL,
Run058,Win10,8Gb,2,2736,svchost.exe,205,202,-3,MISMATCH,SMALL,
Run058,Win10,8Gb,2,2744,svchost.exe,139,180,41,MISMATCH,LARGE,
Run058,Win10,8Gb,2,2756,svchost.exe,118,115,-3,MISMATCH,SMALL,
Run058,Win10,8Gb,2,2800,MpDefenderCore,117,117,0,MATCH,MATCH,
Run058,Win10,8Gb,2,2848,svchost.exe,86,86,0,MATCH,MATCH,
Run058,Win10,8Gb,2,2880,svchost.exe,53,53,0,MATCH,MATCH,
Run058,Win10,8Gb,2,2892,vmtoolsd.exe,149,149,0,MATCH,MATCH,
Run058,Win10,8Gb,2,2900,vm3dservice.ex,58,58,0,MATCH,MATCH,
Run058,Win10,8Gb,2,2908,VGAuthService.,83,83,0,MATCH,MATCH,
Run058,Win10,8Gb,2,2936,svchost.exe,117,116,-1,MISMATCH,SMALL,
Run058,Win10,8Gb,2,2944,MsMpEng.exe,1810,1806,-4,MISMATCH,SMALL,
Run058,Win10,8Gb,2,2972,svchost.exe,53,55,2,MISMATCH,SMALL,
Run058,Win10,8Gb,2,3000,svchost.exe,101,101,0,MATCH,MATCH,
Run058,Win10,8Gb,2,3360,vm3dservice.ex,72,72,0,MATCH,MATCH,
Run058,Win10,8Gb,2,3464,HxTsr.exe,0,0,0,MATCH,MATCH,
Run058,Win10,8Gb,2,3552,dllhost.exe,101,101,0,MATCH,MATCH,
Run058,Win10,8Gb,2,3720,WmiPrvSE.exe,126,121,-5,MISMATCH,SMALL,
Run058,Win10,8Gb,2,3880,SearchIndexer.,302,302,0,MATCH,MATCH,
Run058,Win10,8Gb,2,4024,dllhost.exe,128,128,0,MATCH,MATCH,
Run058,Win10,8Gb,2,4144,sihost.exe,134,134,0,MATCH,MATCH,
Run058,Win10,8Gb,2,4176,svchost.exe,127,127,0,MATCH,MATCH,
Run058,Win10,8Gb,2,4232,svchost.exe,176,170,-6,MISMATCH,MEDIUM,
Run058,Win10,8Gb,2,4276,taskhostw.exe,120,124,4,MISMATCH,SMALL,
Run058,Win10,8Gb,2,4292,taskhostw.exe,223,222,-1,MISMATCH,SMALL,
Run058,Win10,8Gb,2,4344,MicrosoftEdgeU,96,96,0,MATCH,MATCH,
Run058,Win10,8Gb,2,4384,svchost.exe,76,78,2,MISMATCH,SMALL,
Run058,Win10,8Gb,2,4392,svchost.exe,88,92,4,MISMATCH,SMALL,
Run058,Win10,8Gb,2,4572,svchost.exe,68,68,0,MATCH,MATCH,
Run058,Win10,8Gb,2,4636,ctfmon.exe,109,109,0,MATCH,MATCH,
Run058,Win10,8Gb,2,4740,svchost.exe,72,72,0,MATCH,MATCH,
Run058,Win10,8Gb,2,4756,HxTsr.exe,0,0,0,MATCH,MATCH,
Run058,Win10,8Gb,2,4784,userinit.exe,0,0,0,MATCH,MATCH,
Run058,Win10,8Gb,2,4836,explorer.exe,541,550,9,MISMATCH,MEDIUM,
Run058,Win10,8Gb,2,4920,SearchProtocol,,,,MISSING FROM RAW,MISSING,
Run058,Win10,8Gb,2,4968,svchost.exe,127,127,0,MATCH,MATCH,
