RunID,OS,RAMTier,Pressure,PID,Process,VmemCount,RawCount,Delta,Status,Tier,Error
Run053,Win10,8Gb,2,4,System,6,6,0,MATCH,MATCH,
Run053,Win10,8Gb,2,108,Registry,62,62,0,MATCH,MATCH,
Run053,Win10,8Gb,2,360,smss.exe,16,16,0,MATCH,MATCH,
Run053,Win10,8Gb,2,384,svchost.exe,197,198,1,MISMATCH,SMALL,
Run053,Win10,8Gb,2,468,csrss.exe,147,150,3,MISMATCH,SMALL,
Run053,Win10,8Gb,2,544,svchost.exe,53,54,1,MISMATCH,SMALL,
Run053,Win10,8Gb,2,552,wininit.exe,60,60,0,MATCH,MATCH,
Run053,Win10,8Gb,2,572,csrss.exe,120,120,0,MATCH,MATCH,
Run053,Win10,8Gb,2,652,services.exe,63,65,2,MISMATCH,SMALL,
Run053,Win10,8Gb,2,660,winlogon.exe,95,95,0,MATCH,MATCH,
Run053,Win10,8Gb,2,716,powershell.exe,326,310,-16,MISMATCH,MEDIUM,
Run053,Win10,8Gb,2,720,lsass.exe,156,155,-1,MISMATCH,SMALL,
Run053,Win10,8Gb,2,792,HxTsr.exe,0,0,0,MATCH,MATCH,
Run053,Win10,8Gb,2,816,msdtc.exe,95,95,0,MATCH,MATCH,
Run053,Win10,8Gb,2,836,svchost.exe,156,152,-4,MISMATCH,SMALL,
Run053,Win10,8Gb,2,856,fontdrvhost.ex,48,48,0,MATCH,MATCH,
Run053,Win10,8Gb,2,860,fontdrvhost.ex,46,46,0,MATCH,MATCH,
Run053,Win10,8Gb,2,960,svchost.exe,90,88,-2,MISMATCH,SMALL,
Run053,Win10,8Gb,2,980,svchost.exe,72,71,-1,MISMATCH,SMALL,
Run053,Win10,8Gb,2,1008,svchost.exe,85,86,1,MISMATCH,SMALL,
Run053,Win10,8Gb,2,1012,svchost.exe,79,76,-3,MISMATCH,SMALL,
Run053,Win10,8Gb,2,1088,svchost.exe,80,79,-1,MISMATCH,SMALL,
Run053,Win10,8Gb,2,1112,svchost.exe,96,97,1,MISMATCH,SMALL,
