TreeDepth,PID,Process,VadNodeCount,Error
0,4,System,6,
0,108,Registry,64,
0,360,smss.exe,16,
0,468,csrss.exe,150,
0,552,wininit.exe,60,
0,572,csrss.exe,127,
0,652,services.exe,66,
0,660,winlogon.exe,97,
0,720,lsass.exe,157,
0,836,svchost.exe,167,
0,856,fontdrvhost.ex,48,
0,860,fontdrvhost.ex,46,
0,960,svchost.exe,95,
0,1012,svchost.exe,77,
0,544,svchost.exe,54,
0,980,svchost.exe,74,
0,1008,svchost.exe,87,
0,1088,svchost.exe,81,
0,1168,dwm.exe,253,
0,1272,svchost.exe,55,
0,1288,svchost.exe,92,
0,1384,svchost.exe,90,
0,1396,svchost.exe,68,
0,1404,svchost.exe,103,
0,1420,svchost.exe,55,
0,1428,svchost.exe,73,
0,1436,svchost.exe,108,
0,1572,svchost.exe,54,
0,1580,MemCompression,1887,
0,1664,svchost.exe,70,
0,1696,svchost.exe,77,
0,1720,svchost.exe,98,
0,1796,svchost.exe,70,
0,1812,svchost.exe,67,
0,1928,svchost.exe,89,
0,1984,svchost.exe,61,
0,1112,svchost.exe,98,
0,2064,svchost.exe,90,
0,2072,svchost.exe,81,
0,2080,svchost.exe,77,
0,2176,svchost.exe,79,
0,2232,svchost.exe,72,
0,2316,svchost.exe,76,
0,2388,spoolsv.exe,123,
0,2444,svchost.exe,114,
0,2504,svchost.exe,76,
0,2728,svchost.exe,195,
0,2736,svchost.exe,195,
0,2744,svchost.exe,135,
0,2756,svchost.exe,118,
0,2800,MpDefenderCore,120,
0,2848,svchost.exe,86,
0,2880,svchost.exe,53,
0,2892,vmtoolsd.exe,148,
0,2900,vm3dservice.ex,59,
0,2908,VGAuthService.,83,
0,2936,svchost.exe,120,
0,2944,MsMpEng.exe,1809,
0,2972,svchost.exe,55,
0,3000,svchost.exe,101,
0,3360,vm3dservice.ex,73,
0,3552,dllhost.exe,101,
0,3720,WmiPrvSE.exe,123,
0,3880,SearchIndexer.,302,
0,4024,dllhost.exe,131,
0,816,msdtc.exe,95,
0,2352,svchost.exe,68,
0,4144,sihost.exe,141,
0,4176,svchost.exe,127,
0,4232,svchost.exe,173,
0,4276,taskhostw.exe,121,
0,4292,taskhostw.exe,217,
0,4344,MicrosoftEdgeU,96,
0,4392,svchost.exe,97,
0,4572,svchost.exe,69,
0,4636,ctfmon.exe,109,
0,4784,userinit.exe,0,
0,4836,explorer.exe,559,
0,4968,svchost.exe,128,
0,5104,svchost.exe,78,
0,4384,svchost.exe,80,
0,4740,svchost.exe,73,
0,5084,svchost.exe,82,
0,5080,AggregatorHost,45,
0,5296,svchost.exe,109,
0,5612,SearchApp.exe,290,
0,5692,RuntimeBroker.,168,
0,5752,StartMenuExper,222,
0,5852,svchost.exe,96,
0,5860,RuntimeBroker.,150,
0,5924,msedgewebview2,346,
0,5320,msedgewebview2,78,
0,6264,SearchApp.exe,599,
0,6340,svchost.exe,85,
0,6544,msedgewebview2,125,
0,6552,msedgewebview2,151,
0,6628,msedgewebview2,82,
0,6960,msedgewebview2,151,
0,7936,NisSrv.exe,70,
0,6472,RuntimeBroker.,95,
0,2552,SecurityHealth,71,
0,7716,SecurityHealth,110,
0,7824,vmtoolsd.exe,133,
0,5396,OneDrive.exe,342,
0,7356,svchost.exe,75,
0,8220,ShellExperienc,198,
0,8328,RuntimeBroker.,110,
0,8392,msedge.exe,328,
0,8476,msedge.exe,74,
0,8684,msedge.exe,113,
0,8692,msedge.exe,126,
0,8728,msedge.exe,85,
0,8740,elevation_serv,64,
0,9124,svchost.exe,74,
0,7520,svchost.exe,79,
0,9252,M365Copilot.ex,399,
0,9336,RuntimeBroker.,98,
0,9472,msedgewebview2,302,
0,9520,msedgewebview2,73,
0,9644,svchost.exe,56,
0,9728,msedgewebview2,149,
0,9736,msedgewebview2,126,
0,9768,msedgewebview2,85,
0,9884,msedgewebview2,210,
0,10664,Taskmgr.exe,236,
0,11076,HxTsr.exe,0,
0,384,svchost.exe,201,
0,5004,svchost.exe,136,
0,8600,svchost.exe,87,
0,1116,svchost.exe,100,
0,8124,powershell.exe,0,
0,3464,HxTsr.exe,0,
0,1652,svchost.exe,0,
0,1708,svchost.exe,96,
0,4708,svchost.exe,63,
0,9080,svchost.exe,290,
0,792,HxTsr.exe,0,
0,672,svchost.exe,66,
0,768,backgroundTask,112,
0,3956,backgroundTask,65,
0,5428,backgroundTask,103,
0,7720,RuntimeBroker.,80,
0,4936,backgroundTask,85,
0,1600,RuntimeBroker.,161,
0,2024,RuntimeBroker.,69,
0,6116,RuntimeBroker.,112,
0,4168,svchost.exe,157,
0,6164,SearchProtocol,100,
0,5776,SearchFilterHo,65,
0,1064,powershell.exe,326,
0,948,conhost.exe,71,

