TreeDepth,PID,Process,VadNodeCount,Error
0,4,System,6,
0,108,Registry,108,
0,360,smss.exe,16,
0,488,csrss.exe,151,
0,572,csrss.exe,117,
0,596,wininit.exe,60,
0,644,winlogon.exe,88,
0,720,services.exe,59,
0,740,lsass.exe,151,
0,864,svchost.exe,149,
0,892,fontdrvhost.ex,46,
0,900,fontdrvhost.ex,49,
0,988,svchost.exe,90,
0,412,svchost.exe,78,
0,568,dwm.exe,256,
0,1036,svchost.exe,85,
0,1072,svchost.exe,53,
0,1100,svchost.exe,73,
0,1164,svchost.exe,70,
0,1220,svchost.exe,91,
0,1248,svchost.exe,77,
0,1316,svchost.exe,56,
0,1352,svchost.exe,70,
0,1404,svchost.exe,111,
0,1476,svchost.exe,90,
0,1568,svchost.exe,83,
0,1616,svchost.exe,54,
0,1624,svchost.exe,88,
0,1632,svchost.exe,100,
0,1640,svchost.exe,67,
0,1784,svchost.exe,69,
0,1820,svchost.exe,69,
0,1828,svchost.exe,72,
0,1924,svchost.exe,98,
0,1992,svchost.exe,73,
0,1596,MemCompression,10,
0,2096,svchost.exe,61,
0,2104,svchost.exe,78,
0,2112,svchost.exe,81,
0,2204,svchost.exe,78,
0,2256,svchost.exe,68,
0,2284,svchost.exe,75,
0,2392,spoolsv.exe,123,
0,2420,svchost.exe,113,
0,2552,svchost.exe,76,
0,2652,svchost.exe,53,
0,2644,svchost.exe,201,
0,2664,svchost.exe,113,
0,2672,svchost.exe,197,
0,2680,svchost.exe,134,
0,2724,svchost.exe,53,
0,2732,svchost.exe,116,
0,2868,MsMpEng.exe,2095,
0,2900,MpDefenderCore,120,
0,2928,svchost.exe,54,
0,2992,svchost.exe,101,
0,3104,svchost.exe,86,
0,3160,vmtoolsd.exe,147,
0,3168,VGAuthService.,83,
0,3188,vm3dservice.ex,58,
0,3472,svchost.exe,60,
0,3564,vm3dservice.ex,72,
0,3668,svchost.exe,69,
0,3928,SearchIndexer.,273,
0,2636,dllhost.exe,129,
0,3988,sihost.exe,155,
0,1088,svchost.exe,135,
0,4132,svchost.exe,178,
0,4300,taskhostw.exe,219,
0,4408,svchost.exe,68,
0,4476,dllhost.exe,101,
0,4544,svchost.exe,90,
0,4628,MicrosoftEdgeU,96,
0,4712,AggregatorHost,49,
0,4740,msdtc.exe,95,
0,5012,ctfmon.exe,110,
0,4268,userinit.exe,0,
0,2336,svchost.exe,75,
0,4796,explorer.exe,534,
0,4996,svchost.exe,77,
0,4952,WmiPrvSE.exe,128,
0,4452,svchost.exe,127,
0,5132,svchost.exe,0,
0,5420,svchost.exe,72,
0,5480,svchost.exe,81,
0,5660,svchost.exe,106,
0,5880,svchost.exe,73,
0,496,StartMenuExper,229,
0,4500,SearchApp.exe,281,
0,1360,svchost.exe,150,
0,2608,RuntimeBroker.,155,
0,2140,SearchApp.exe,692,
0,1668,RuntimeBroker.,171,
0,6296,svchost.exe,95,
0,6548,msedgewebview2,318,
0,6872,msedgewebview2,73,
0,652,msedgewebview2,123,
0,6780,msedgewebview2,192,
0,980,msedgewebview2,86,
0,7504,msedgewebview2,206,
0,7708,NisSrv.exe,70,
0,7796,UserOOBEBroker,76,
0,8036,ShellExperienc,214,
0,8044,svchost.exe,74,
0,4868,RuntimeBroker.,95,
0,6120,SecurityHealth,71,
0,6272,SecurityHealth,110,
0,3416,vmtoolsd.exe,131,
0,6316,OneDrive.exe,341,
0,3900,svchost.exe,79,
0,7460,svchost.exe,80,
0,8808,RuntimeBroker.,109,
0,9200,Taskmgr.exe,234,
0,8220,svchost.exe,137,
0,860,svchost.exe,88,
0,1472,svchost.exe,99,
0,5068,svchost.exe,189,
0,3212,PhoneExperienc,732,
0,7564,HxTsr.exe,0,
0,4120,svchost.exe,0,
0,9068,MusNotifyIcon.,99,
0,5724,powershell.exe,0,
0,8736,HxTsr.exe,0,
0,8496,svchost.exe,93,
0,5388,msedgewebview2,98,
0,5968,powershell.exe,253,
0,4972,conhost.exe,69,
0,7832,HxTsr.exe,0,
0,4808,msedgewebview2,0,
0,1952,M365Copilot.ex,397,
0,920,RuntimeBroker.,97,
0,5832,msedgewebview2,321,
0,7836,msedgewebview2,76,
0,512,msedgewebview2,152,
0,6640,msedgewebview2,126,
0,5472,msedgewebview2,87,
0,7592,msedgewebview2,195,
0,5360,HxTsr.exe,0,
0,4116,svchost.exe,1,
0,1740,svchost.exe,62,
0,8924,svchost.exe,65,
0,7716,audiodg.exe,1,
0,4092,TrustedInstall,66,
0,9192,TiWorker.exe,434,
0,2364,go-winpmem_amd,68,
0,7144,conhost.exe,69,
0,8572,SearchProtocol,0,
0,7120,SearchFilterHo,14,

