TreeDepth,PID,Process,VadNodeCount,Error
0,4,System,6,
0,108,Registry,113,
0,360,smss.exe,16,
0,488,csrss.exe,150,
0,572,csrss.exe,109,
0,596,wininit.exe,60,
0,644,winlogon.exe,95,
0,720,services.exe,60,
0,740,lsass.exe,155,
0,864,svchost.exe,153,
0,892,fontdrvhost.ex,46,
0,900,fontdrvhost.ex,49,
0,988,svchost.exe,88,
0,412,svchost.exe,79,
0,568,dwm.exe,251,
0,1036,svchost.exe,85,
0,1072,svchost.exe,53,
0,1100,svchost.exe,70,
0,1164,svchost.exe,70,
0,1220,svchost.exe,91,
0,1248,svchost.exe,80,
0,1316,svchost.exe,56,
0,1352,svchost.exe,70,
0,1404,svchost.exe,103,
0,1476,svchost.exe,90,
0,1568,svchost.exe,83,
0,1616,svchost.exe,54,
0,1624,svchost.exe,86,
0,1632,svchost.exe,102,
0,1640,svchost.exe,67,
0,1784,svchost.exe,69,
0,1820,svchost.exe,69,
0,1828,svchost.exe,72,
0,1924,svchost.exe,96,
0,1992,svchost.exe,75,
0,1596,MemCompression,6,
0,2096,svchost.exe,61,
0,2104,svchost.exe,74,
0,2112,svchost.exe,84,
0,2204,svchost.exe,78,
0,2256,svchost.exe,70,
0,2284,svchost.exe,76,
0,2392,spoolsv.exe,123,
0,2420,svchost.exe,111,
0,2552,svchost.exe,76,
0,2652,svchost.exe,53,
0,2644,svchost.exe,206,
0,2664,svchost.exe,118,
0,2672,svchost.exe,192,
0,2680,svchost.exe,136,
0,2724,svchost.exe,53,
0,2732,svchost.exe,116,
0,2868,MsMpEng.exe,2001,
0,2900,MpDefenderCore,121,
0,2928,svchost.exe,54,
0,2992,svchost.exe,101,
0,3104,svchost.exe,86,
0,3160,vmtoolsd.exe,148,
0,3168,VGAuthService.,83,
0,3188,vm3dservice.ex,58,
0,3472,svchost.exe,60,
0,3564,vm3dservice.ex,72,
0,3668,svchost.exe,69,
0,3928,SearchIndexer.,274,
0,2636,dllhost.exe,127,
0,3988,sihost.exe,133,
0,1088,svchost.exe,135,
0,4132,svchost.exe,172,
0,4300,taskhostw.exe,211,
0,4408,svchost.exe,68,
0,4476,dllhost.exe,101,
0,4544,svchost.exe,91,
0,4628,MicrosoftEdgeU,96,
0,4712,AggregatorHost,49,
0,4740,msdtc.exe,95,
0,5012,ctfmon.exe,110,
0,4268,userinit.exe,0,
0,2336,svchost.exe,74,
0,4796,explorer.exe,530,
0,4804,StoreDesktopEx,89,
0,4996,svchost.exe,77,
0,4952,WmiPrvSE.exe,131,
0,4452,svchost.exe,127,
0,5132,svchost.exe,0,
0,5420,svchost.exe,72,
0,5480,svchost.exe,81,
0,5660,svchost.exe,106,
0,5880,svchost.exe,73,
0,496,StartMenuExper,224,
0,4500,SearchApp.exe,289,
0,1360,svchost.exe,149,
0,2608,RuntimeBroker.,152,
0,2140,SearchApp.exe,689,
0,1668,RuntimeBroker.,170,
0,6296,svchost.exe,91,
0,6548,msedgewebview2,318,
0,6872,msedgewebview2,74,
0,652,msedgewebview2,124,
0,6780,msedgewebview2,237,
0,980,msedgewebview2,86,
0,7504,msedgewebview2,213,
0,7708,NisSrv.exe,70,
0,7796,UserOOBEBroker,76,
0,8036,ShellExperienc,199,
0,8044,svchost.exe,75,
0,4868,RuntimeBroker.,95,
0,6120,SecurityHealth,71,
0,6272,SecurityHealth,108,
0,3416,vmtoolsd.exe,132,
0,6316,OneDrive.exe,342,
0,3900,svchost.exe,73,
0,2328,m365copilot_au,74,
0,7460,svchost.exe,79,
0,8808,RuntimeBroker.,110,
0,9200,Taskmgr.exe,233,
0,8220,svchost.exe,136,
0,860,svchost.exe,87,
0,1472,svchost.exe,99,
0,5068,svchost.exe,198,
0,3212,PhoneExperienc,732,
0,7564,HxTsr.exe,0,
0,4120,svchost.exe,0,
0,9068,MusNotifyIcon.,99,
0,5724,powershell.exe,0,
0,8736,HxTsr.exe,0,
0,8496,svchost.exe,90,
0,5388,msedgewebview2,98,
0,7336,svchost.exe,468,
0,8148,svchost.exe,53,
0,1864,svchost.exe,65,
0,1108,SearchProtocol,94,
0,2156,SearchFilterHo,61,
0,5968,powershell.exe,255,
0,4972,conhost.exe,69,

