TreeDepth,PID,Process,VadNodeCount,Error
0,4,System,5,
0,124,Registry,80,
0,460,smss.exe,23,
0,648,csrss.exe,162,
0,728,csrss.exe,132,
0,752,wininit.exe,65,
0,800,winlogon.exe,89,
0,880,services.exe,61,
0,900,lsass.exe,157,
0,568,svchost.exe,163,
0,444,fontdrvhost.ex,49,
0,584,fontdrvhost.ex,50,
0,920,svchost.exe,87,
0,1048,svchost.exe,84,
0,1132,svchost.exe,206,
0,1196,svchost.exe,89,
0,1280,dwm.exe,282,
0,1304,LogonUI.exe,0,
0,1376,svchost.exe,74,
0,1452,svchost.exe,82,
0,1492,svchost.exe,82,
0,1520,svchost.exe,97,
0,1564,svchost.exe,56,
0,1560,svchost.exe,76,
0,1568,svchost.exe,77,
0,1572,svchost.exe,55,
0,1600,svchost.exe,72,
0,1684,svchost.exe,76,
0,1692,svchost.exe,94,
0,1700,svchost.exe,59,
0,1812,svchost.exe,122,
0,1912,svchost.exe,78,
0,1940,svchost.exe,76,
0,1948,svchost.exe,74,
0,1996,MemCompression,0,
0,1320,svchost.exe,56,
0,1988,svchost.exe,101,
0,2068,svchost.exe,76,
0,2160,svchost.exe,63,
0,2168,svchost.exe,78,
0,2176,svchost.exe,82,
0,2432,svchost.exe,80,
0,2568,svchost.exe,87,
0,2616,svchost.exe,87,
0,2676,spoolsv.exe,132,
0,2692,svchost.exe,71,
0,2912,svchost.exe,120,
0,3068,svchost.exe,77,
0,2768,audiodg.exe,83,
0,3104,svchost.exe,177,
0,3112,svchost.exe,110,
0,3120,svchost.exe,122,
0,3128,svchost.exe,61,
0,3168,svchost.exe,55,
0,3192,svchost.exe,116,
0,3200,svchost.exe,115,
0,3348,vmtoolsd.exe,170,
0,3392,MsMpEng.exe,1734,
0,3412,vm3dservice.ex,73,
0,3420,MpDefenderCore,114,
0,3452,VGAuthService.,94,
0,3756,svchost.exe,90,
0,3768,vm3dservice.ex,85,
0,4076,dllhost.exe,121,
0,4276,msdtc.exe,112,
0,4300,svchost.exe,90,
0,4308,svchost.exe,218,
0,4412,svchost.exe,139,
0,4440,svchost.exe,55,
0,4472,svchost.exe,140,
0,4520,taskhostw.exe,194,
0,4632,sihost.exe,182,
0,4736,MicrosoftEdgeU,112,
0,4832,svchost.exe,67,
0,4952,svchost.exe,107,
0,4116,svchost.exe,152,
0,8,WmiPrvSE.exe,128,
0,5180,AggregatorHost,66,
0,5260,svchost.exe,130,
0,5420,userinit.exe,0,
0,5480,explorer.exe,591,
0,5588,ShellHost.exe,152,
0,5632,svchost.exe,83,
0,5772,CrossDeviceRes,173,
0,5864,WmiPrvSE.exe,175,
0,5908,svchost.exe,82,
0,6020,svchost.exe,105,
0,6076,svchost.exe,226,
0,5176,svchost.exe,79,
0,6048,svchost.exe,68,
0,6152,svchost.exe,86,
0,6388,Widgets.exe,267,
0,6436,SearchHost.exe,288,
0,6568,StartMenuExper,358,
0,6672,RuntimeBroker.,178,
0,6748,svchost.exe,122,
0,6980,WidgetService.,137,
0,5316,msedgewebview2,312,
0,7428,UserOOBEBroker,81,
0,7492,LockApp.exe,200,
0,7700,msedgewebview2,73,
0,7720,RuntimeBroker.,162,
0,8104,svchost.exe,75,
0,8112,SearchIndexer.,147,
0,6316,svchost.exe,95,
0,8200,NisSrv.exe,74,
0,8616,msedgewebview2,126,
0,8624,msedgewebview2,140,
0,8648,msedgewebview2,77,
0,8672,msedgewebview2,166,
0,8168,ctfmon.exe,142,
0,5860,svchost.exe,120,
0,6008,svchost.exe,61,
0,2576,smartscreen.ex,79,
0,2836,Taskmgr.exe,427,
0,4848,taskhostw.exe,71,
0,3584,SecurityHealth,84,
0,7548,SecurityHealth,137,
0,4968,vmtoolsd.exe,137,
0,4144,OneDrive.exe,360,
0,9364,ShellExperienc,223,
0,9488,RuntimeBroker.,112,
0,9752,svchost.exe,63,
0,9780,svchost.exe,84,
0,10108,svchost.exe,140,
0,10208,svchost.exe,70,
0,5720,svchost.exe,73,
0,6592,svchost.exe,90,
0,3988,svchost.exe,127,
0,9580,svchost.exe,98,
0,10136,msedgewebview2,331,
0,9636,msedgewebview2,78,
0,7044,msedgewebview2,129,
0,9240,msedgewebview2,163,
0,9232,RuntimeBroker.,99,
0,5492,msedgewebview2,76,
0,7840,msedgewebview2,218,
0,4580,WmiApSrv.exe,85,
0,8336,SearchProtocol,109,
0,8372,powershell.exe,240,
0,2740,conhost.exe,75,

