RunID,OS,RAMTier,Pressure,Variant,PID,Process,VmemCount,RawCount,Delta,Status,Tier,Error
Run028A,Win11,8Gb,2,Async,4,System,5,5,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,124,Registry,85,85,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,440,svchost.exe,165,166,1,MISMATCH,SMALL,
Run028A,Win11,8Gb,2,Async,456,smss.exe,23,23,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,552,svchost.exe,80,80,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,564,fontdrvhost.ex,48,48,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,600,fontdrvhost.ex,48,48,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,636,csrss.exe,156,158,2,MISMATCH,SMALL,
Run028A,Win11,8Gb,2,Async,716,wininit.exe,65,65,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,724,csrss.exe,125,125,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,732,msedgewebview2,79,79,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,788,winlogon.exe,85,85,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,800,taskhostw.exe,194,194,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,864,svchost.exe,90,90,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,868,services.exe,63,63,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,888,WerFault.exe,0,0,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,912,lsass.exe,152,151,-1,MISMATCH,SMALL,
Run028A,Win11,8Gb,2,Async,936,svchost.exe,81,81,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,1084,svchost.exe,221,221,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,1092,svchost.exe,78,78,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,1176,MemCompression,2005,1898,-107,MISMATCH,LARGE,
Run028A,Win11,8Gb,2,Async,1216,dwm.exe,271,268,-3,MISMATCH,SMALL,
Run028A,Win11,8Gb,2,Async,1324,msedgewebview2,80,80,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,1376,svchost.exe,86,87,1,MISMATCH,SMALL,
Run028A,Win11,8Gb,2,Async,1396,msedgewebview2,130,130,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,1444,svchost.exe,92,91,-1,MISMATCH,SMALL,
Run028A,Win11,8Gb,2,Async,1452,svchost.exe,82,82,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,1532,sihost.exe,179,180,1,MISMATCH,SMALL,
Run028A,Win11,8Gb,2,Async,1552,svchost.exe,81,80,-1,MISMATCH,SMALL,
Run028A,Win11,8Gb,2,Async,1584,svchost.exe,58,59,1,MISMATCH,SMALL,
Run028A,Win11,8Gb,2,Async,1596,svchost.exe,75,75,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,1600,svchost.exe,53,52,-1,MISMATCH,SMALL,
Run028A,Win11,8Gb,2,Async,1604,svchost.exe,53,54,1,MISMATCH,SMALL,
Run028A,Win11,8Gb,2,Async,1616,svchost.exe,72,73,1,MISMATCH,SMALL,
Run028A,Win11,8Gb,2,Async,1632,svchost.exe,53,54,1,MISMATCH,SMALL,
Run028A,Win11,8Gb,2,Async,1640,svchost.exe,69,70,1,MISMATCH,SMALL,
Run028A,Win11,8Gb,2,Async,1692,svchost.exe,97,97,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,1792,svchost.exe,120,120,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,1800,svchost.exe,77,80,3,MISMATCH,SMALL,
Run028A,Win11,8Gb,2,Async,1900,svchost.exe,91,92,1,MISMATCH,SMALL,
Run028A,Win11,8Gb,2,Async,1908,svchost.exe,71,71,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,1920,svchost.exe,56,57,1,MISMATCH,SMALL,
Run028A,Win11,8Gb,2,Async,1956,svchost.exe,102,100,-2,MISMATCH,SMALL,
Run028A,Win11,8Gb,2,Async,2068,explorer.exe,560,560,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,2100,userinit.exe,0,0,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,2140,svchost.exe,74,74,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,2188,svchost.exe,81,81,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,2196,svchost.exe,73,74,1,MISMATCH,SMALL,
Run028A,Win11,8Gb,2,Async,2324,svchost.exe,97,97,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,2380,svchost.exe,77,77,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,2404,ShellHost.exe,152,152,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,2436,svchost.exe,79,79,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,2452,svchost.exe,73,73,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,2484,svchost.exe,134,134,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,2528,svchost.exe,60,60,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,2544,svchost.exe,138,138,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,2576,svchost.exe,78,78,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,2640,svchost.exe,75,75,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,2740,svchost.exe,82,82,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,2796,CrossDeviceRes,174,174,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,2800,svchost.exe,82,82,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,2812,MicrosoftEdgeU,110,110,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,2900,spoolsv.exe,130,130,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,2908,svchost.exe,53,53,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,2912,svchost.exe,68,68,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,2996,svchost.exe,116,116,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,3044,svchost.exe,77,77,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,3236,svchost.exe,71,71,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,3248,SearchIndexer.,129,129,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,3284,svchost.exe,84,84,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,3364,svchost.exe,198,196,-2,MISMATCH,SMALL,
Run028A,Win11,8Gb,2,Async,3372,svchost.exe,108,108,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,3380,svchost.exe,169,169,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,3412,msedgewebview2,76,76,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,3432,MpDefenderCore,114,113,-1,MISMATCH,SMALL,
Run028A,Win11,8Gb,2,Async,3448,svchost.exe,53,53,0,MATCH,MATCH,
Run028A,Win11,8Gb,2,Async,3464,svchost.exe,90,90,0,MATCH,MATCH,
