RunID,OS,RAMTier,Pressure,PID,Process,VmemCount,RawCount,Delta,Status,Tier,Error
Run082,Win10,16Gb,1,4,System,6,6,0,MATCH,MATCH,
Run082,Win10,16Gb,1,108,Registry,64,65,1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,364,smss.exe,16,16,0,MATCH,MATCH,
Run082,Win10,16Gb,1,412,svchost.exe,78,79,1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,484,csrss.exe,153,152,-1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,560,dwm.exe,287,290,3,MISMATCH,SMALL,
Run082,Win10,16Gb,1,568,csrss.exe,124,126,2,MISMATCH,SMALL,
Run082,Win10,16Gb,1,592,wininit.exe,60,60,0,MATCH,MATCH,
Run082,Win10,16Gb,1,608,NisSrv.exe,70,70,0,MATCH,MATCH,
Run082,Win10,16Gb,1,640,winlogon.exe,95,93,-2,MISMATCH,SMALL,
Run082,Win10,16Gb,1,692,msedge.exe,124,124,0,MATCH,MATCH,
Run082,Win10,16Gb,1,708,services.exe,61,61,0,MATCH,MATCH,
Run082,Win10,16Gb,1,716,SearchIndexer.,383,382,-1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,728,lsass.exe,158,158,0,MATCH,MATCH,
Run082,Win10,16Gb,1,792,LogonUI.exe,0,0,0,MATCH,MATCH,
Run082,Win10,16Gb,1,848,svchost.exe,155,166,11,MISMATCH,MEDIUM,
Run082,Win10,16Gb,1,876,fontdrvhost.ex,46,46,0,MATCH,MATCH,
Run082,Win10,16Gb,1,920,fontdrvhost.ex,48,48,0,MATCH,MATCH,
Run082,Win10,16Gb,1,992,svchost.exe,91,93,2,MISMATCH,SMALL,
Run082,Win10,16Gb,1,1036,HxTsr.exe,0,0,0,MATCH,MATCH,
Run082,Win10,16Gb,1,1072,svchost.exe,81,81,0,MATCH,MATCH,
Run082,Win10,16Gb,1,1076,svchost.exe,85,86,1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,1104,svchost.exe,53,54,1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,1132,svchost.exe,72,73,1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,1180,HxTsr.exe,0,0,0,MATCH,MATCH,
Run082,Win10,16Gb,1,1192,msedgewebview2,71,68,-3,MISMATCH,SMALL,
Run082,Win10,16Gb,1,1240,svchost.exe,,,,MISSING FROM RAW,MISSING,
Run082,Win10,16Gb,1,1256,svchost.exe,91,92,1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,1276,msedgewebview2,73,73,0,MATCH,MATCH,
Run082,Win10,16Gb,1,1284,svchost.exe,104,103,-1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,1332,svchost.exe,103,103,0,MATCH,MATCH,
Run082,Win10,16Gb,1,1348,HxTsr.exe,,,,MISSING FROM VMEM,MISSING,
Run082,Win10,16Gb,1,1372,svchost.exe,80,80,0,MATCH,MATCH,
Run082,Win10,16Gb,1,1432,svchost.exe,75,77,2,MISMATCH,SMALL,
Run082,Win10,16Gb,1,1488,svchost.exe,53,57,4,MISMATCH,SMALL,
Run082,Win10,16Gb,1,1524,svchost.exe,70,73,3,MISMATCH,SMALL,
Run082,Win10,16Gb,1,1644,svchost.exe,90,95,5,MISMATCH,SMALL,
Run082,Win10,16Gb,1,1656,HxTsr.exe,0,0,0,MATCH,MATCH,
Run082,Win10,16Gb,1,1684,sihost.exe,155,160,5,MISMATCH,SMALL,
Run082,Win10,16Gb,1,1688,svchost.exe,88,90,2,MISMATCH,SMALL,
Run082,Win10,16Gb,1,1696,svchost.exe,54,55,1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,1704,svchost.exe,67,68,1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,1728,svchost.exe,114,98,-16,MISMATCH,MEDIUM,
Run082,Win10,16Gb,1,1780,svchost.exe,70,70,0,MATCH,MATCH,
Run082,Win10,16Gb,1,1824,svchost.exe,,,,MISSING FROM VMEM,MISSING,
Run082,Win10,16Gb,1,1828,svchost.exe,69,70,1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,1836,svchost.exe,85,86,1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,1844,svchost.exe,66,67,1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,1868,msedgewebview2,209,209,0,MATCH,MATCH,
Run082,Win10,16Gb,1,1912,svchost.exe,53,54,1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,1928,svchost.exe,74,78,4,MISMATCH,SMALL,
Run082,Win10,16Gb,1,1960,svchost.exe,88,89,1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,2016,svchost.exe,102,99,-3,MISMATCH,SMALL,
Run082,Win10,16Gb,1,2104,svchost.exe,78,79,1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,2144,MemCompression,1098,1130,32,MISMATCH,LARGE,
Run082,Win10,16Gb,1,2240,spoolsv.exe,123,123,0,MATCH,MATCH,
Run082,Win10,16Gb,1,2360,svchost.exe,74,76,2,MISMATCH,SMALL,
Run082,Win10,16Gb,1,2436,svchost.exe,111,115,4,MISMATCH,SMALL,
Run082,Win10,16Gb,1,2516,svchost.exe,76,76,0,MATCH,MATCH,
Run082,Win10,16Gb,1,2632,svchost.exe,73,78,5,MISMATCH,SMALL,
Run082,Win10,16Gb,1,2688,svchost.exe,195,193,-2,MISMATCH,SMALL,
Run082,Win10,16Gb,1,2696,svchost.exe,211,211,0,MATCH,MATCH,
Run082,Win10,16Gb,1,2720,svchost.exe,123,120,-3,MISMATCH,SMALL,
Run082,Win10,16Gb,1,2728,svchost.exe,137,136,-1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,2740,msdtc.exe,95,95,0,MATCH,MATCH,
Run082,Win10,16Gb,1,2756,SearchFilterHo,,,,MISSING FROM VMEM,MISSING,
Run082,Win10,16Gb,1,2760,svchost.exe,53,53,0,MATCH,MATCH,
Run082,Win10,16Gb,1,2812,svchost.exe,73,74,1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,2836,svchost.exe,117,118,1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,2876,vmtoolsd.exe,156,156,0,MATCH,MATCH,
Run082,Win10,16Gb,1,2888,MsMpEng.exe,1880,1881,1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,2932,VGAuthService.,83,83,0,MATCH,MATCH,
Run082,Win10,16Gb,1,2940,MpDefenderCore,118,116,-2,MISMATCH,SMALL,
Run082,Win10,16Gb,1,2992,svchost.exe,53,54,1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,3036,svchost.exe,101,101,0,MATCH,MATCH,
Run082,Win10,16Gb,1,3080,vm3dservice.ex,58,58,0,MATCH,MATCH,
Run082,Win10,16Gb,1,3116,svchost.exe,86,86,0,MATCH,MATCH,
Run082,Win10,16Gb,1,3216,svchost.exe,60,63,3,MISMATCH,SMALL,
Run082,Win10,16Gb,1,3324,svchost.exe,,,,MISSING FROM RAW,MISSING,
Run082,Win10,16Gb,1,3528,vm3dservice.ex,72,72,0,MATCH,MATCH,
Run082,Win10,16Gb,1,3548,powershell.exe,0,0,0,MATCH,MATCH,
Run082,Win10,16Gb,1,3624,svchost.exe,67,70,3,MISMATCH,SMALL,
Run082,Win10,16Gb,1,3700,svchost.exe,,,,MISSING FROM RAW,MISSING,
Run082,Win10,16Gb,1,3748,svchost.exe,136,135,-1,MISMATCH,SMALL,
Run082,Win10,16Gb,1,3776,svchost.exe,100,100,0,MATCH,MATCH,
Run082,Win10,16Gb,1,3848,svchost.exe,175,179,4,MISMATCH,SMALL,
Run082,Win10,16Gb,1,3892,OneDrive.exe,344,344,0,MATCH,MATCH,
Run082,Win10,16Gb,1,3912,HxTsr.exe,0,0,0,MATCH,MATCH,
Run082,Win10,16Gb,1,3952,LockApp.exe,274,274,0,MATCH,MATCH,
Run082,Win10,16Gb,1,3984,taskhostw.exe,260,263,3,MISMATCH,SMALL,
Run082,Win10,16Gb,1,3992,SearchProtocol,,,,MISSING FROM RAW,MISSING,
Run082,Win10,16Gb,1,4040,dllhost.exe,101,101,0,MATCH,MATCH,
