RunID,OS,RAMTier,Pressure,PID,Process,VmemCount,RawCount,Delta,Status,Tier,Error
Run160,Win11,8Gb,2,4,System,5,5,0,MATCH,MATCH,
Run160,Win11,8Gb,2,124,Registry,84,84,0,MATCH,MATCH,
Run160,Win11,8Gb,2,456,smss.exe,23,23,0,MATCH,MATCH,
Run160,Win11,8Gb,2,572,svchost.exe,90,92,2,MISMATCH,SMALL,
Run160,Win11,8Gb,2,584,svchost.exe,163,167,4,MISMATCH,SMALL,
Run160,Win11,8Gb,2,632,csrss.exe,160,163,3,MISMATCH,SMALL,
Run160,Win11,8Gb,2,712,csrss.exe,131,131,0,MATCH,MATCH,
Run160,Win11,8Gb,2,736,wininit.exe,65,65,0,MATCH,MATCH,
Run160,Win11,8Gb,2,784,winlogon.exe,85,85,0,MATCH,MATCH,
Run160,Win11,8Gb,2,864,services.exe,60,63,3,MISMATCH,SMALL,
Run160,Win11,8Gb,2,888,WerFault.exe,0,0,0,MATCH,MATCH,
Run160,Win11,8Gb,2,908,lsass.exe,157,157,0,MATCH,MATCH,
Run160,Win11,8Gb,2,928,svchost.exe,225,225,0,MATCH,MATCH,
Run160,Win11,8Gb,2,1036,fontdrvhost.ex,49,49,0,MATCH,MATCH,
Run160,Win11,8Gb,2,1044,fontdrvhost.ex,47,47,0,MATCH,MATCH,
Run160,Win11,8Gb,2,1104,svchost.exe,53,53,0,MATCH,MATCH,
Run160,Win11,8Gb,2,1128,svchost.exe,78,78,0,MATCH,MATCH,
Run160,Win11,8Gb,2,1176,svchost.exe,97,96,-1,MISMATCH,SMALL,
Run160,Win11,8Gb,2,1180,dwm.exe,273,273,0,MATCH,MATCH,
Run160,Win11,8Gb,2,1200,SecurityHealth,135,136,1,MISMATCH,SMALL,
Run160,Win11,8Gb,2,1368,svchost.exe,86,85,-1,MISMATCH,SMALL,
Run160,Win11,8Gb,2,1448,svchost.exe,53,53,0,MATCH,MATCH,
Run160,Win11,8Gb,2,1516,svchost.exe,82,82,0,MATCH,MATCH,
Run160,Win11,8Gb,2,1552,svchost.exe,81,82,1,MISMATCH,SMALL,
Run160,Win11,8Gb,2,1580,svchost.exe,53,53,0,MATCH,MATCH,
Run160,Win11,8Gb,2,1588,svchost.exe,72,72,0,MATCH,MATCH,
Run160,Win11,8Gb,2,1596,svchost.exe,53,52,-1,MISMATCH,SMALL,
Run160,Win11,8Gb,2,1604,svchost.exe,69,68,-1,MISMATCH,SMALL,
Run160,Win11,8Gb,2,1652,svchost.exe,140,139,-1,MISMATCH,SMALL,
Run160,Win11,8Gb,2,1680,conhost.exe,76,75,-1,MISMATCH,SMALL,
Run160,Win11,8Gb,2,1688,svchost.exe,120,122,2,MISMATCH,SMALL,
Run160,Win11,8Gb,2,1696,msedgewebview2,129,130,1,MISMATCH,SMALL,
Run160,Win11,8Gb,2,1700,svchost.exe,73,73,0,MATCH,MATCH,
Run160,Win11,8Gb,2,1724,svchost.exe,90,92,2,MISMATCH,SMALL,
Run160,Win11,8Gb,2,1760,msedgewebview2,177,172,-5,MISMATCH,SMALL,
Run160,Win11,8Gb,2,1768,svchost.exe,,,,MISSING FROM RAW,MISSING,
Run160,Win11,8Gb,2,1808,svchost.exe,76,76,0,MATCH,MATCH,
Run160,Win11,8Gb,2,1832,svchost.exe,134,134,0,MATCH,MATCH,
Run160,Win11,8Gb,2,1836,svchost.exe,92,95,3,MISMATCH,SMALL,
Run160,Win11,8Gb,2,1844,svchost.exe,71,71,0,MATCH,MATCH,
Run160,Win11,8Gb,2,1852,svchost.exe,56,55,-1,MISMATCH,SMALL,
Run160,Win11,8Gb,2,1944,svchost.exe,75,74,-1,MISMATCH,SMALL,
Run160,Win11,8Gb,2,1972,svchost.exe,74,74,0,MATCH,MATCH,
Run160,Win11,8Gb,2,1980,svchost.exe,76,76,0,MATCH,MATCH,
Run160,Win11,8Gb,2,2072,svchost.exe,81,81,0,MATCH,MATCH,
Run160,Win11,8Gb,2,2080,svchost.exe,61,60,-1,MISMATCH,SMALL,
Run160,Win11,8Gb,2,2088,svchost.exe,77,78,1,MISMATCH,SMALL,
Run160,Win11,8Gb,2,2164,MemCompression,2299,2097,-202,MISMATCH,LARGE,
Run160,Win11,8Gb,2,2276,svchost.exe,78,78,0,MATCH,MATCH,
Run160,Win11,8Gb,2,2388,svchost.exe,73,75,2,MISMATCH,SMALL,
Run160,Win11,8Gb,2,2464,svchost.exe,149,149,0,MATCH,MATCH,
Run160,Win11,8Gb,2,2500,powershell.exe,235,225,-10,MISMATCH,MEDIUM,
Run160,Win11,8Gb,2,2572,svchost.exe,82,81,-1,MISMATCH,SMALL,
Run160,Win11,8Gb,2,2608,svchost.exe,82,81,-1,MISMATCH,SMALL,
Run160,Win11,8Gb,2,2668,sihost.exe,178,178,0,MATCH,MATCH,
Run160,Win11,8Gb,2,2700,msedgewebview2,211,207,-4,MISMATCH,SMALL,
Run160,Win11,8Gb,2,2776,RuntimeBroker.,96,96,0,MATCH,MATCH,
Run160,Win11,8Gb,2,2824,spoolsv.exe,130,130,0,MATCH,MATCH,
Run160,Win11,8Gb,2,2932,svchost.exe,117,114,-3,MISMATCH,SMALL,
Run160,Win11,8Gb,2,3052,svchost.exe,77,77,0,MATCH,MATCH,
Run160,Win11,8Gb,2,3080,svchost.exe,125,166,41,MISMATCH,LARGE,
Run160,Win11,8Gb,2,3088,svchost.exe,108,108,0,MATCH,MATCH,
Run160,Win11,8Gb,2,3096,svchost.exe,193,191,-2,MISMATCH,SMALL,
Run160,Win11,8Gb,2,3104,svchost.exe,58,58,0,MATCH,MATCH,
Run160,Win11,8Gb,2,3112,svchost.exe,54,53,-1,MISMATCH,SMALL,
Run160,Win11,8Gb,2,3136,RuntimeBroker.,110,109,-1,MISMATCH,SMALL,
Run160,Win11,8Gb,2,3144,svchost.exe,120,117,-3,MISMATCH,SMALL,
Run160,Win11,8Gb,2,3172,svchost.exe,119,118,-1,MISMATCH,SMALL,
Run160,Win11,8Gb,2,3400,vmtoolsd.exe,169,169,0,MATCH,MATCH,
Run160,Win11,8Gb,2,3408,vm3dservice.ex,71,71,0,MATCH,MATCH,
Run160,Win11,8Gb,2,3436,MpDefenderCore,124,122,-2,MISMATCH,SMALL,
