RunID,OS,RAMTier,Pressure,PID,Process,VmemCount,RawCount,Delta,Status,Tier,Error
Run207,Win11,16Gb,2,0,,,,,MISSING FROM VMEM,MISSING,
Run207,Win11,16Gb,2,4,System,5,5,0,MATCH,MATCH,
Run207,Win11,16Gb,2,8,WmiPrvSE.exe,128,138,10,MISMATCH,MEDIUM,
Run207,Win11,16Gb,2,124,Registry,80,83,3,MISMATCH,SMALL,
Run207,Win11,16Gb,2,444,fontdrvhost.ex,49,47,-2,MISMATCH,SMALL,
Run207,Win11,16Gb,2,460,smss.exe,23,23,0,MATCH,MATCH,
Run207,Win11,16Gb,2,568,svchost.exe,163,172,9,MISMATCH,MEDIUM,
Run207,Win11,16Gb,2,584,fontdrvhost.ex,50,48,-2,MISMATCH,SMALL,
Run207,Win11,16Gb,2,648,csrss.exe,162,162,0,MATCH,MATCH,
Run207,Win11,16Gb,2,728,csrss.exe,132,132,0,MATCH,MATCH,
Run207,Win11,16Gb,2,752,wininit.exe,65,65,0,MATCH,MATCH,
Run207,Win11,16Gb,2,800,winlogon.exe,89,90,1,MISMATCH,SMALL,
Run207,Win11,16Gb,2,880,services.exe,61,64,3,MISMATCH,SMALL,
Run207,Win11,16Gb,2,900,lsass.exe,157,157,0,MATCH,MATCH,
Run207,Win11,16Gb,2,920,svchost.exe,87,95,8,MISMATCH,MEDIUM,
Run207,Win11,16Gb,2,928,SearchProtocol,,,,MISSING FROM VMEM,MISSING,
Run207,Win11,16Gb,2,1048,svchost.exe,84,83,-1,MISMATCH,SMALL,
Run207,Win11,16Gb,2,1132,svchost.exe,206,214,8,MISMATCH,MEDIUM,
Run207,Win11,16Gb,2,1196,svchost.exe,89,90,1,MISMATCH,SMALL,
Run207,Win11,16Gb,2,1280,dwm.exe,282,283,1,MISMATCH,SMALL,
Run207,Win11,16Gb,2,1304,LogonUI.exe,0,0,0,MATCH,MATCH,
Run207,Win11,16Gb,2,1320,svchost.exe,56,52,-4,MISMATCH,SMALL,
Run207,Win11,16Gb,2,1376,svchost.exe,,,,MISSING FROM RAW,MISSING,
Run207,Win11,16Gb,2,1404,svchost.exe,,,,MISSING FROM VMEM,MISSING,
Run207,Win11,16Gb,2,1452,svchost.exe,82,82,0,MATCH,MATCH,
Run207,Win11,16Gb,2,1492,svchost.exe,82,82,0,MATCH,MATCH,
