RunID,OS,RAMTier,Pressure,PID,Process,VmemCount,RawCount,Delta,Status,Tier,Error
Run029,Win10,8Gb,1,4,System,6,6,0,MATCH,MATCH,
Run029,Win10,8Gb,1,108,Registry,62,62,0,MATCH,MATCH,
Run029,Win10,8Gb,1,360,smss.exe,16,16,0,MATCH,MATCH,
Run029,Win10,8Gb,1,476,csrss.exe,152,151,-1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,556,dwm.exe,265,265,0,MATCH,MATCH,
Run029,Win10,8Gb,1,560,wininit.exe,60,60,0,MATCH,MATCH,
Run029,Win10,8Gb,1,568,csrss.exe,114,114,0,MATCH,MATCH,
Run029,Win10,8Gb,1,656,winlogon.exe,88,88,0,MATCH,MATCH,
Run029,Win10,8Gb,1,704,services.exe,63,62,-1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,724,lsass.exe,163,163,0,MATCH,MATCH,
Run029,Win10,8Gb,1,820,WmiPrvSE.exe,175,173,-2,MISMATCH,SMALL,
Run029,Win10,8Gb,1,844,svchost.exe,149,148,-1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,864,svchost.exe,,,,MISSING FROM VMEM,MISSING,
Run029,Win10,8Gb,1,872,fontdrvhost.ex,37,37,0,MATCH,MATCH,
Run029,Win10,8Gb,1,880,fontdrvhost.ex,38,38,0,MATCH,MATCH,
Run029,Win10,8Gb,1,960,svchost.exe,83,83,0,MATCH,MATCH,
Run029,Win10,8Gb,1,1016,svchost.exe,69,66,-3,MISMATCH,SMALL,
Run029,Win10,8Gb,1,1064,svchost.exe,85,85,0,MATCH,MATCH,
Run029,Win10,8Gb,1,1168,msedge.exe,0,0,0,MATCH,MATCH,
Run029,Win10,8Gb,1,1192,ShellExperienc,214,214,0,MATCH,MATCH,
Run029,Win10,8Gb,1,1196,svchost.exe,80,79,-1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,1204,svchost.exe,51,51,0,MATCH,MATCH,
Run029,Win10,8Gb,1,1212,svchost.exe,70,68,-2,MISMATCH,SMALL,
Run029,Win10,8Gb,1,1240,vmtoolsd.exe,135,134,-1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,1316,svchost.exe,91,91,0,MATCH,MATCH,
Run029,Win10,8Gb,1,1368,svchost.exe,52,50,-2,MISMATCH,SMALL,
Run029,Win10,8Gb,1,1384,svchost.exe,77,77,0,MATCH,MATCH,
Run029,Win10,8Gb,1,1396,svchost.exe,68,67,-1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,1436,msedge.exe,,,,MISSING FROM VMEM,MISSING,
Run029,Win10,8Gb,1,1480,svchost.exe,74,71,-3,MISMATCH,SMALL,
Run029,Win10,8Gb,1,1488,svchost.exe,90,91,1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,1516,dllhost.exe,101,101,0,MATCH,MATCH,
Run029,Win10,8Gb,1,1524,svchost.exe,53,52,-1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,1532,svchost.exe,104,104,0,MATCH,MATCH,
Run029,Win10,8Gb,1,1540,svchost.exe,89,87,-2,MISMATCH,SMALL,
Run029,Win10,8Gb,1,1548,svchost.exe,66,66,0,MATCH,MATCH,
Run029,Win10,8Gb,1,1608,svchost.exe,85,85,0,MATCH,MATCH,
Run029,Win10,8Gb,1,1632,Taskmgr.exe,221,219,-2,MISMATCH,SMALL,
Run029,Win10,8Gb,1,1648,msedge.exe,,,,MISSING FROM RAW,MISSING,
Run029,Win10,8Gb,1,1672,svchost.exe,112,103,-9,MISMATCH,MEDIUM,
Run029,Win10,8Gb,1,1692,svchost.exe,68,68,0,MATCH,MATCH,
Run029,Win10,8Gb,1,1740,svchost.exe,80,80,0,MATCH,MATCH,
Run029,Win10,8Gb,1,1752,svchost.exe,68,68,0,MATCH,MATCH,
Run029,Win10,8Gb,1,1760,svchost.exe,64,64,0,MATCH,MATCH,
Run029,Win10,8Gb,1,1788,MusNotifyIcon.,105,105,0,MATCH,MATCH,
Run029,Win10,8Gb,1,1804,svchost.exe,82,77,-5,MISMATCH,SMALL,
Run029,Win10,8Gb,1,1824,svchost.exe,53,53,0,MATCH,MATCH,
Run029,Win10,8Gb,1,1844,MemCompression,677,672,-5,MISMATCH,SMALL,
Run029,Win10,8Gb,1,1908,svchost.exe,51,51,0,MATCH,MATCH,
Run029,Win10,8Gb,1,1984,svchost.exe,96,97,1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,2016,MpDefenderCore,117,118,1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,2084,svchost.exe,78,78,0,MATCH,MATCH,
Run029,Win10,8Gb,1,2204,svchost.exe,71,71,0,MATCH,MATCH,
Run029,Win10,8Gb,1,2244,spoolsv.exe,122,122,0,MATCH,MATCH,
Run029,Win10,8Gb,1,2272,svchost.exe,76,73,-3,MISMATCH,SMALL,
Run029,Win10,8Gb,1,2292,svchost.exe,133,132,-1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,2332,msedge.exe,,,,MISSING FROM VMEM,MISSING,
Run029,Win10,8Gb,1,2368,svchost.exe,112,111,-1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,2412,SecurityHealth,109,109,0,MATCH,MATCH,
Run029,Win10,8Gb,1,2472,TiWorker.exe,,,,MISSING FROM RAW,MISSING,
Run029,Win10,8Gb,1,2560,svchost.exe,77,74,-3,MISMATCH,SMALL,
Run029,Win10,8Gb,1,2596,powershell.exe,237,221,-16,MISMATCH,MEDIUM,
Run029,Win10,8Gb,1,2668,svchost.exe,76,76,0,MATCH,MATCH,
Run029,Win10,8Gb,1,2680,SgrmBroker.exe,53,52,-1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,2756,svchost.exe,120,109,-11,MISMATCH,MEDIUM,
Run029,Win10,8Gb,1,2764,svchost.exe,199,199,0,MATCH,MATCH,
Run029,Win10,8Gb,1,2772,svchost.exe,138,178,40,MISMATCH,LARGE,
Run029,Win10,8Gb,1,2784,svchost.exe,195,193,-2,MISMATCH,SMALL,
Run029,Win10,8Gb,1,2816,svchost.exe,51,51,0,MATCH,MATCH,
Run029,Win10,8Gb,1,2860,taskhostw.exe,186,185,-1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,2888,SearchIndexer.,297,297,0,MATCH,MATCH,
Run029,Win10,8Gb,1,2892,svchost.exe,116,117,1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,2904,vmtoolsd.exe,150,150,0,MATCH,MATCH,
Run029,Win10,8Gb,1,2936,VGAuthService.,83,83,0,MATCH,MATCH,
Run029,Win10,8Gb,1,2944,MsMpEng.exe,1882,1882,0,MATCH,MATCH,
Run029,Win10,8Gb,1,2988,vm3dservice.ex,58,58,0,MATCH,MATCH,
Run029,Win10,8Gb,1,3004,elevation_serv,,,,MISSING FROM VMEM,MISSING,
Run029,Win10,8Gb,1,3056,svchost.exe,351,470,119,MISMATCH,LARGE,
Run029,Win10,8Gb,1,3164,svchost.exe,59,59,0,MATCH,MATCH,
Run029,Win10,8Gb,1,3220,svchost.exe,87,87,0,MATCH,MATCH,
Run029,Win10,8Gb,1,3264,vm3dservice.ex,72,73,1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,3272,svchost.exe,100,100,0,MATCH,MATCH,
Run029,Win10,8Gb,1,3540,Microsoft.Phot,184,184,0,MATCH,MATCH,
Run029,Win10,8Gb,1,3588,msdtc.exe,95,95,0,MATCH,MATCH,
Run029,Win10,8Gb,1,3752,svchost.exe,66,66,0,MATCH,MATCH,
Run029,Win10,8Gb,1,3792,svchost.exe,92,91,-1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,3800,svchost.exe,71,72,1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,3828,SearchFilterHo,,,,MISSING FROM RAW,MISSING,
Run029,Win10,8Gb,1,3928,dllhost.exe,125,125,0,MATCH,MATCH,
Run029,Win10,8Gb,1,3960,RuntimeBroker.,105,105,0,MATCH,MATCH,
Run029,Win10,8Gb,1,3984,msedge.exe,,,,MISSING FROM RAW,MISSING,
Run029,Win10,8Gb,1,3988,go-winpmem_amd,,,,MISSING FROM VMEM,MISSING,
Run029,Win10,8Gb,1,3992,msedge.exe,,,,MISSING FROM VMEM,MISSING,
Run029,Win10,8Gb,1,4328,svchost.exe,67,67,0,MATCH,MATCH,
Run029,Win10,8Gb,1,4332,SecurityHealth,70,70,0,MATCH,MATCH,
Run029,Win10,8Gb,1,4336,MicrosoftEdgeU,95,95,0,MATCH,MATCH,
Run029,Win10,8Gb,1,4368,userinit.exe,0,0,0,MATCH,MATCH,
Run029,Win10,8Gb,1,4392,ctfmon.exe,106,107,1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,4436,explorer.exe,506,508,2,MISMATCH,SMALL,
Run029,Win10,8Gb,1,4508,svchost.exe,84,91,7,MISMATCH,MEDIUM,
Run029,Win10,8Gb,1,4576,svchost.exe,76,76,0,MATCH,MATCH,
Run029,Win10,8Gb,1,4772,svchost.exe,90,91,1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,4956,sihost.exe,129,133,4,MISMATCH,SMALL,
Run029,Win10,8Gb,1,5040,svchost.exe,123,123,0,MATCH,MATCH,
Run029,Win10,8Gb,1,5080,svchost.exe,177,176,-1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,5104,svchost.exe,118,117,-1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,5144,svchost.exe,127,127,0,MATCH,MATCH,
Run029,Win10,8Gb,1,5216,svchost.exe,71,71,0,MATCH,MATCH,
Run029,Win10,8Gb,1,5248,svchost.exe,,,,MISSING FROM RAW,MISSING,
Run029,Win10,8Gb,1,5268,svchost.exe,81,81,0,MATCH,MATCH,
Run029,Win10,8Gb,1,5380,svchost.exe,107,112,5,MISMATCH,SMALL,
Run029,Win10,8Gb,1,5700,MoUsoCoreWorke,,,,MISSING FROM RAW,MISSING,
Run029,Win10,8Gb,1,5724,StartMenuExper,215,214,-1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,5864,RuntimeBroker.,110,109,-1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,5876,RuntimeBroker.,137,136,-1,MISMATCH,SMALL,
Run029,Win10,8Gb,1,5884,svchost.exe,158,155,-3,MISMATCH,SMALL,
Run029,Win10,8Gb,1,5896,powershell.exe,0,0,0,MATCH,MATCH,
Run029,Win10,8Gb,1,6132,SearchApp.exe,704,704,0,MATCH,MATCH,
